Year,2022,2021,2020,2019,2018,2017
Revenue,23.78,23.86,14.5,11.71,13.84,14.42
Revenue Growth (YoY),-0.35%,64.51%,23.83%,-15.39%,-4.03%,-
Gross Profit,23.78,23.86,14.5,11.71,13.84,14.42
"Selling, General & Admin",12.25,11.19,7.42,7.39,7.13,6.66
Other Operating Expenses,2.03,3.27,4.58,1.05,1.18,1.23
Operating Expenses,14.29,14.46,12,8.43,8.32,7.89
Operating Income,9.49,9.4,2.51,3.28,5.53,6.53
Pretax Income,9.49,9.4,2.51,3.28,5.53,6.53
Income Tax,2.61,1.88,0.44,0.85,1.39,2.63
Net Income,6.88,7.52,2.07,2.43,4.14,3.9
Net Income Growth,-8.55%,263.60%,-14.81%,-41.31%,6.02%,-
Shares Outstanding (Basic),14,14,12,13,-,-
Shares Outstanding (Diluted),14,14,12,-,-,-
Shares Change,-2.31%,14.19%,-7.50%,-,-,-
EPS (Basic),0.51,0.55,0.17,-,-,-
EPS (Diluted),0.51,0.54,0.17,-,-,-
EPS Growth,-5.56%,217.65%,-,-,-,-
Free Cash Flow Per Share,0.78,0.33,0.33,0.18,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,39.92%,39.38%,17.28%,27.99%,39.93%,45.28%
Profit Margin,28.92%,31.52%,14.26%,20.73%,29.88%,27.05%
Free Cash Flow Margin,44.64%,18.88%,27.97%,20.61%,26.41%,38.90%
Effective Tax Rate,27.55%,19.96%,17.45%,25.94%,25.16%,40.26%
EBITDA,9.75,9.05,2.78,3.57,5.84,6.88
EBITDA Margin,40.99%,37.94%,19.15%,30.52%,42.19%,47.71%
Depreciation & Amortization,0.26,-0.34,0.27,0.3,0.31,0.35
EBIT,9.49,9.4,2.51,3.28,5.53,6.53
EBIT Margin,39.92%,39.38%,17.28%,27.99%,39.93%,45.28%
