Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,"1,382.9","1,330.1","1,310.4","1,430.5","1,191.6","1,171.55","1,128.91","1,080.45","1,060.69","1,031.27",Upgrade
Revenue Growth (YoY),3.97%,1.50%,-8.40%,20.05%,1.71%,3.78%,4.49%,1.86%,2.85%,2.02%,Upgrade
Cost of Revenue,939.2,782.1,773.5,797.9,843.76,780.94,733.03,679.21,644.57,618.21,Upgrade
Gross Profit,443.7,548,536.9,632.6,347.84,390.61,395.88,401.24,416.12,413.06,Upgrade
"Selling, General & Admin",414.6,346.2,337.7,343.8,315.3,289.97,269.84,256.33,255.81,244.76,Upgrade
Other Operating Expenses,21.6,13,24.4,36.8,0,0,0,0,0,0,Upgrade
Operating Expenses,436.2,359.2,362.1,380.6,315.3,289.97,269.84,256.33,255.81,244.76,Upgrade
Operating Income,7.5,188.8,174.8,252,32.54,100.64,126.04,144.91,160.31,168.3,Upgrade
Interest Expense / Income,19.4,13.9,15.2,15.6,13,11.95,11.81,13.12,14.2,14.24,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,2.34,-,-,Upgrade
Pretax Income,-11.9,174.9,159.6,236.4,19.54,88.69,114.23,129.45,146.11,154.07,Upgrade
Income Tax,-9.3,32.1,26.3,52,1.19,-80.77,30.47,35.97,41.87,43.17,Upgrade
Net Income,-2.6,142.8,133.3,184.4,18.34,169.46,83.77,93.48,104.24,110.89,Upgrade
Net Income Growth,-,7.13%,-27.71%,905.29%,-89.18%,102.30%,-10.39%,-10.32%,-6.00%,6.77%,Upgrade
Shares Outstanding (Basic),42,42,42,42,42,41,41,42,42,40,Upgrade
Shares Outstanding (Diluted),42,42,42,42,42,42,41,42,42,42,Upgrade
Shares Change,-0.95%,0.48%,0.24%,0.01%,0.79%,0.22%,-2.24%,0.46%,1.43%,0.59%,Upgrade
EPS (Basic),-0.06,3.40,3.18,4.42,0.44,4.10,2.04,2.23,2.50,2.75,Upgrade
EPS (Diluted),-0.06,3.39,3.17,4.40,0.44,4.08,2.02,2.20,2.47,2.66,Upgrade
EPS Growth,-,6.94%,-27.95%,900.00%,-89.22%,101.98%,-8.18%,-10.93%,-7.14%,5.98%,Upgrade
Free Cash Flow Per Share,4.12,4.88,6.20,3.06,4.83,6.20,5.14,4.96,5.33,5.10,Upgrade
Dividend Per Share,1.280,1.240,1.200,1.150,1.140,1.100,1.060,1.000,0.920,0.790,Upgrade
Dividend Growth,3.23%,3.33%,4.35%,0.88%,3.64%,3.77%,6.00%,8.70%,16.46%,43.64%,Upgrade
Gross Margin,32.08%,41.20%,40.97%,44.22%,29.19%,33.34%,35.07%,37.14%,39.23%,40.05%,Upgrade
Operating Margin,0.54%,14.19%,13.34%,17.62%,2.73%,8.59%,11.16%,13.41%,15.11%,16.32%,Upgrade
Profit Margin,-0.19%,10.74%,10.17%,12.89%,1.54%,14.46%,7.42%,8.65%,9.83%,10.75%,Upgrade
Free Cash Flow Margin,12.40%,15.40%,19.83%,8.92%,16.86%,21.90%,18.73%,19.22%,20.92%,19.97%,Upgrade
Effective Tax Rate,-,18.35%,16.48%,22.00%,6.11%,-91.08%,26.67%,27.79%,28.66%,28.02%,Upgrade
EBITDA,35.1,207.2,198.2,267.6,39.9,107.25,126.04,142.57,160.31,168.3,Upgrade
EBITDA Margin,2.54%,15.58%,15.13%,18.71%,3.35%,9.15%,11.16%,13.20%,15.11%,16.32%,Upgrade
Depreciation & Amortization,27.6,18.4,23.4,15.6,7.36,6.62,0,0,0,0,Upgrade
EBIT,7.5,188.8,174.8,252,32.54,100.64,126.04,142.57,160.31,168.3,Upgrade
EBIT Margin,0.54%,14.19%,13.34%,17.62%,2.73%,8.59%,11.16%,13.20%,15.11%,16.32%,Upgrade
