Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,"27,518","25,371","21,454","17,772","15,451","13,094","10,842","9,248","8,025","6,727",Upgrade
Revenue Growth (YoY),8.46%,18.26%,20.72%,15.02%,18.00%,20.77%,17.24%,15.24%,19.30%,18.81%,Upgrade
Cost of Revenue,"15,865","13,450","11,453","9,785","8,262","6,695","5,701","4,529","3,807","3,287",Upgrade
Gross Profit,"11,653","11,921","10,001","7,987","7,189","6,399","5,141","4,719","4,218","3,440",Upgrade
"Selling, General & Admin","4,356","4,559","3,931","3,112","2,855","2,400","1,997","1,810","1,687","1,169",Upgrade
Research & Development,"3,253","3,038","2,642","2,085","1,831","1,740",834,792,747,727,Upgrade
Other Operating Expenses,207,62,139,71,309,132,724,656,516,453,Upgrade
Operating Expenses,"7,816","7,659","6,712","5,268","4,995","4,272","3,555","3,258","2,950","2,349",Upgrade
Operating Income,"3,837","4,262","3,289","2,719","2,194","2,127","1,586","1,461","1,268","1,091",Upgrade
Other Expense / Income,471,163,"-1,776",-279,-182,-73,-45,-27,7,7,Upgrade
Pretax Income,"3,366","4,099","5,065","2,998","2,376","2,200","1,631","1,488","1,261","1,084",Upgrade
Income Tax,947,-70,863,539,319,405,230,260,842,129,Upgrade
Net Income,"2,419","4,169","4,202","2,459","2,057","1,795","1,401","1,228",419,955,Upgrade
Net Income Growth,-41.98%,-0.79%,70.88%,19.54%,14.60%,28.12%,14.09%,193.08%,-56.13%,22.75%,Upgrade
Shares Outstanding (Basic),"1,154","1,174","1,173","1,174","1,184","1,203","1,210","1,222","1,218","1,218",Upgrade
Shares Outstanding (Diluted),"1,158","1,186","1,187","1,188","1,203","1,221","1,218","1,229","1,224","1,224",Upgrade
Shares Change,-2.36%,-0.08%,-0.08%,-1.25%,-1.47%,0.25%,-0.90%,0.41%,-,-,Upgrade
EPS (Basic),2.10,3.55,3.58,2.09,1.74,1.49,1.16,1.00,0.34,0.78,Upgrade
EPS (Diluted),2.09,3.52,3.54,2.07,1.71,1.47,1.15,1.00,0.34,0.78,Upgrade
EPS Growth,-40.63%,-0.56%,71.01%,21.05%,16.33%,27.83%,15.00%,194.12%,-56.41%,-,Upgrade
Free Cash Flow Per Share,4.43,4.17,4.67,2.88,3.94,1.55,2.06,1.51,1.42,1.31,Upgrade
Gross Margin,42.35%,46.99%,46.62%,44.94%,46.53%,48.87%,47.42%,51.03%,52.56%,51.14%,Upgrade
Operating Margin,13.94%,16.80%,15.33%,15.30%,14.20%,16.24%,14.63%,15.80%,15.80%,16.22%,Upgrade
Profit Margin,8.79%,16.43%,19.59%,13.84%,13.31%,13.71%,12.92%,13.28%,5.22%,14.20%,Upgrade
Free Cash Flow Margin,18.58%,19.29%,25.51%,19.04%,30.16%,14.24%,22.96%,20.00%,21.53%,23.81%,Upgrade
Effective Tax Rate,28.13%,-1.71%,17.04%,17.98%,13.43%,18.41%,14.10%,17.47%,66.77%,11.90%,Upgrade
EBITDA,"4,683","5,364","6,254","3,910","3,152","3,005","2,355","2,096","1,777","1,537",Upgrade
EBITDA Margin,17.02%,21.14%,29.15%,22.00%,20.40%,22.95%,21.72%,22.66%,22.14%,22.85%,Upgrade
Depreciation & Amortization,"1,317","1,265","1,189",912,776,805,724,608,516,453,Upgrade
EBIT,"3,366","4,099","5,065","2,998","2,376","2,200","1,631","1,488","1,261","1,084",Upgrade
EBIT Margin,12.23%,16.16%,23.61%,16.87%,15.38%,16.80%,15.04%,16.09%,15.71%,16.11%,Upgrade
