Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2002
Revenue,"1,870.6","1,699.3","1,389.5","1,179","1,019.9",911.7,798.6,788.8,760.1,698.3,Upgrade
Revenue Growth (YoY),10.08%,22.30%,17.85%,15.60%,11.87%,14.16%,1.24%,3.78%,8.85%,6.08%,Upgrade
Cost of Revenue,779.3,698.4,556.4,483.1,411.1,386.6,344.3,330.1,318.6,271.4,Upgrade
Gross Profit,"1,091.3","1,000.9",833.1,695.9,608.8,525.1,454.3,458.7,441.5,426.9,Upgrade
"Selling, General & Admin",756.9,593.2,478.4,388.6,296.3,264.1,202.8,203.7,220,210.5,Upgrade
Other Operating Expenses,166.6,150.7,139.5,117.7,96.7,91.2,70.7,64.4,115.9,45.7,Upgrade
Operating Expenses,923.5,743.9,617.9,506.3,393,355.3,273.5,268.1,335.9,256.2,Upgrade
Operating Income,167.8,257,215.2,189.6,215.8,169.8,180.8,190.6,105.6,170.7,Upgrade
Interest Expense / Income,28.4,8.7,9.5,8.7,1.8,3.6,-0.3,-1.3,0,0,Upgrade
Other Expense / Income,12.4,-7.6,-77.6,-16.7,-16.8,-13.6,-43.6,-3.4,-8.4,-8.8,Upgrade
Pretax Income,127,255.9,283.3,197.6,230.8,179.8,224.7,195.3,114,179.5,Upgrade
Income Tax,56.5,62.6,59.7,45.6,47.8,42.9,63.7,62.7,35.7,56,Upgrade
Net Income,70.5,193.3,223.6,152,183,136.9,161,132.6,78.3,123.5,Upgrade
Net Income Growth,-63.53%,-13.55%,47.11%,-16.94%,33.67%,-14.97%,21.42%,69.35%,-36.60%,14.27%,Upgrade
Shares Outstanding (Basic),43,43,43,43,43,43,43,44,45,46,Upgrade
Shares Outstanding (Diluted),43,43,43,43,43,43,43,44,45,47,Upgrade
Shares Change,-1.15%,0.46%,-,0.47%,-,-0.69%,-2.26%,-1.34%,-3.44%,-5.39%,Upgrade
EPS (Basic),1.65,4.50,5.22,3.56,4.30,3.21,3.74,3.00,1.75,2.68,Upgrade
EPS (Diluted),1.64,4.45,5.18,3.52,4.25,3.18,3.72,3.00,1.74,2.66,Upgrade
EPS Growth,-63.15%,-14.09%,47.16%,-17.18%,33.65%,-14.52%,24.00%,72.41%,-34.59%,20.91%,Upgrade
Free Cash Flow Per Share,3.95,8.10,7.17,5.96,5.60,4.30,3.51,4.17,1.75,3.31,Upgrade
Dividend Per Share,1.440,0.945,1.515,1.120,1.000,0.920,0.880,0.760,0.680,0.375,Upgrade
Dividend Growth,52.38%,-37.62%,35.27%,12.00%,8.70%,4.55%,15.79%,11.76%,81.33%,-28.57%,Upgrade
Gross Margin,58.34%,58.90%,59.96%,59.02%,59.69%,57.60%,56.89%,58.15%,58.08%,61.13%,Upgrade
Operating Margin,8.97%,15.12%,15.49%,16.08%,21.16%,18.62%,22.64%,24.16%,13.89%,24.45%,Upgrade
Profit Margin,3.77%,11.38%,16.09%,12.89%,17.94%,15.02%,20.16%,16.81%,10.30%,17.69%,Upgrade
Free Cash Flow Margin,9.00%,20.48%,22.14%,21.58%,23.40%,20.13%,18.90%,23.35%,10.30%,21.92%,Upgrade
Effective Tax Rate,44.49%,24.46%,21.07%,23.08%,20.71%,23.86%,28.35%,32.10%,31.32%,31.20%,Upgrade
EBITDA,322,415.3,432.3,324,329.3,274.6,295.1,258.4,168.9,225.2,Upgrade
EBITDA Margin,17.21%,24.44%,31.11%,27.48%,32.29%,30.12%,36.95%,32.76%,22.22%,32.25%,Upgrade
Depreciation & Amortization,166.6,150.7,139.5,117.7,96.7,91.2,70.7,64.4,54.9,45.7,Upgrade
EBIT,155.4,264.6,292.8,206.3,232.6,183.4,224.4,194,114,179.5,Upgrade
EBIT Margin,8.31%,15.57%,21.07%,17.50%,22.81%,20.12%,28.10%,24.59%,15.00%,25.71%,Upgrade
