Year,2022,2021,2020,2019,2018,2017,2016
Revenue,446.53,531.59,429.98,416.39,378.5,0,0
Revenue Growth (YoY),-16.00%,23.63%,3.26%,10.01%,-,-,-
Gross Profit,446.53,531.59,429.98,416.39,378.5,0,0
"Selling, General & Admin",366.22,422.19,473.1,331.43,303.37,0,0
Other Operating Expenses,0,0,0,0,0,0,0
Operating Expenses,366.22,422.19,473.1,331.43,303.37,0,0
Operating Income,80.31,109.4,-43.12,84.97,75.13,-0,-0
Interest Expense / Income,23.31,20.08,23.45,25.68,26.47,0,0
Other Expense / Income,27.57,56.85,-75.12,56.97,47.26,-,-
Pretax Income,29.43,32.48,8.56,2.32,1.4,-0,-0
Income Tax,9.61,10.99,4.51,2.32,1.4,0,0
Net Income,19.82,21.48,4.05,0,0,-0,-0
Net Income Growth,-7.74%,430.55%,-,-,-,-,-
Shares Outstanding (Basic),44,44,40,36,32,6,6
Shares Outstanding (Diluted),189,189,184,-,-,6,6
Shares Change,-0.26%,2.63%,413.86%,11.97%,412.29%,-,-
EPS (Basic),0.45,0.49,0.10,-,-,-,-
EPS (Diluted),0.28,0.28,-0.58,-,-,-,-
Free Cash Flow Per Share,4.92,4.10,1.67,2.57,3.63,-,-
Dividend Per Share,0.410,0.330,-,-,-,-,-
Dividend Growth,24.24%,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,-,-
Operating Margin,17.99%,20.58%,-10.03%,20.41%,19.85%,-,-
Profit Margin,4.44%,4.04%,0.94%,-,-,-,-
Free Cash Flow Margin,48.31%,33.78%,15.55%,22.14%,30.69%,-,-
Effective Tax Rate,32.66%,33.85%,52.67%,100.00%,100.00%,-,-
EBITDA,60.46,56.58,41.82,38.34,39.53,-0,-0
EBITDA Margin,13.54%,10.64%,9.73%,9.21%,10.44%,-,-
Depreciation & Amortization,7.71,4.02,9.82,10.34,11.66,0,0
EBIT,52.75,52.56,32,28,27.86,-0,-0
EBIT Margin,11.81%,9.89%,7.44%,6.72%,7.36%,-,-
