Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2002
Revenue,77.34,73.75,58.63,57.17,53.55,46.42,41.34,38.39,36.5,35.27,Upgrade
Revenue Growth (YoY),4.86%,25.79%,2.56%,6.76%,15.36%,12.28%,7.68%,5.19%,3.50%,11.71%,Upgrade
Gross Profit,77.34,73.75,58.63,57.17,53.55,46.42,41.34,38.39,36.5,35.27,Upgrade
"Selling, General & Admin",32.88,31.6,30.11,30.24,28.95,24.9,24.83,23.89,22.55,21.06,Upgrade
Other Operating Expenses,6.55,7.55,7.89,6,9.2,5.16,4.77,4.53,3.69,3.78,Upgrade
Operating Expenses,39.43,39.15,38,36.23,38.15,30.05,29.6,28.42,26.24,24.84,Upgrade
Operating Income,37.9,34.6,20.63,20.94,15.4,16.37,11.75,9.98,10.27,10.42,Upgrade
Pretax Income,37.9,34.6,20.63,20.94,15.4,16.37,11.75,9.98,10.27,10.42,Upgrade
Income Tax,9.58,8.72,4.49,5.67,4.17,9.16,4.42,3.63,3.78,3.77,Upgrade
Net Income,28.32,25.89,16.14,15.27,11.23,7.21,7.33,6.34,6.49,6.65,Upgrade
Preferred Dividends,0,0,0,0,0,0,0,0.02,0.2,0.2,Upgrade
Net Income Common,28.32,25.89,16.14,15.27,11.23,7.21,7.33,6.32,6.29,6.45,Upgrade
Net Income Growth,9.39%,60.42%,5.66%,36.02%,55.77%,-1.68%,16.00%,0.48%,-2.50%,34.68%,Upgrade
Shares Outstanding (Basic),6,6,6,6,6,5,5,5,5,5,Upgrade
Shares Change,-1.39%,-3.19%,5.89%,0.12%,19.96%,-0.17%,-1.12%,0.47%,0.89%,53.19%,Upgrade
EPS (Basic),5.01,4.47,2.74,2.75,2.02,1.56,1.59,1.36,1.35,1.90,Upgrade
EPS (Diluted),5.00,4.47,2.74,2.75,2.02,1.56,1.59,1.35,1.35,1.88,Upgrade
EPS Growth,11.86%,63.14%,-0.36%,36.14%,29.49%,-1.89%,17.78%,0%,-28.19%,19.75%,Upgrade
Free Cash Flow Per Share,6.00,5.34,4.71,2.67,3.16,2.00,1.92,1.92,1.77,1.61,Upgrade
Dividend Per Share,0.700,0.575,0.500,0.500,0.400,0.400,0.400,0.300,0.400,0.500,Upgrade
Dividend Growth,21.74%,15.00%,0%,25.00%,0%,0%,33.33%,-25.00%,-20.00%,25.00%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,49.01%,46.92%,35.18%,36.62%,28.76%,35.25%,28.41%,25.98%,28.13%,29.55%,Upgrade
Profit Margin,36.62%,35.10%,27.52%,26.71%,20.97%,15.53%,17.73%,16.46%,17.23%,18.29%,Upgrade
Free Cash Flow Margin,43.83%,41.45%,47.46%,26.03%,32.91%,20.08%,21.64%,23.56%,22.68%,21.19%,Upgrade
Effective Tax Rate,25.29%,25.19%,21.78%,27.06%,27.10%,55.95%,37.59%,36.42%,36.78%,36.18%,Upgrade
EBITDA,40.31,36.98,23.4,23.26,17.86,17.96,13.29,11.42,11.57,11.7,Upgrade
EBITDA Margin,52.12%,50.14%,39.91%,40.69%,33.36%,38.70%,32.15%,29.73%,31.68%,33.17%,Upgrade
Depreciation & Amortization,2.41,2.38,2.77,2.33,2.46,1.6,1.54,1.44,1.3,1.27,Upgrade
EBIT,37.9,34.6,20.63,20.94,15.4,16.37,11.75,9.98,10.27,10.42,Upgrade
EBIT Margin,49.01%,46.92%,35.18%,36.62%,28.76%,35.25%,28.41%,25.98%,28.13%,29.55%,Upgrade
