Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,194.9,157.35,163.84,201.1,188.14,152.43,82.28,52.81,17.71,1.86,Upgrade
Revenue Growth (YoY),23.86%,-3.96%,-18.53%,6.89%,23.42%,85.27%,55.80%,198.14%,850.78%,62000.00%,Upgrade
Cost of Revenue,49.42,41.09,41.92,59.2,45.89,34.93,22.59,21.39,6.92,-1.12,Upgrade
Gross Profit,145.48,116.26,121.92,141.9,142.24,117.5,59.68,31.42,10.79,2.99,Upgrade
"Selling, General & Admin",7.28,9.81,6.09,5.05,6.45,7.12,6.72,6.25,4.27,3.04,Upgrade
Operating Expenses,7.28,9.81,6.09,5.05,6.45,7.12,6.72,6.25,4.27,3.04,Upgrade
Operating Income,138.2,106.46,115.83,136.86,135.79,110.39,52.97,25.17,6.52,-0.05,Upgrade
Interest Expense / Income,49.62,31.81,36.84,49.53,45.62,23.08,3.57,0.41,0,0,Upgrade
Other Expense / Income,38.06,-44.46,89.75,35.47,58.87,1.41,-70.28,26.2,-9.82,-6.15,Upgrade
Pretax Income,50.51,119.11,-10.75,51.86,31.31,85.9,119.67,-1.44,16.34,6.1,Upgrade
Income Tax,0.37,0.34,0.27,0.01,0,0,0,0,0,0,Upgrade
Net Income,50.14,118.76,-11.02,51.84,31.31,85.9,119.67,-1.44,16.34,6.1,Upgrade
Net Income Growth,-57.78%,-,-,65.58%,-63.55%,-28.22%,-,-,167.70%,24308.00%,Upgrade
Shares Outstanding (Basic),57,57,57,57,57,56,53,39,17,3,Upgrade
Shares Outstanding (Diluted),57,57,57,57,57,56,53,39,17,3,Upgrade
Shares Change,-0.44%,-0.02%,-0.07%,-0.38%,1.68%,5.95%,34.97%,133.42%,508.94%,1003.81%,Upgrade
EPS (Basic),0.89,2.09,-0.19,0.91,0.54,1.54,2.26,-0.04,0.98,2.20,Upgrade
EPS (Diluted),0.89,2.09,-0.19,0.91,0.54,1.54,2.26,-0.04,0.98,2.20,Upgrade
EPS Growth,-57.42%,-,-,68.52%,-64.94%,-31.86%,-,-,-55.45%,2100.00%,Upgrade
Free Cash Flow Per Share,0.62,-0.87,3.50,2.22,-2.01,-7.37,-4.26,-9.50,-19.31,-48.99,Upgrade
Dividend Per Share,1.180,0.460,-,-,-,-,-,-,-,-,Upgrade
Dividend Growth,156.52%,-,-,-,-,-,-,-,-,-,Upgrade
Gross Margin,74.64%,73.89%,74.41%,70.56%,75.61%,77.08%,72.54%,59.49%,60.93%,160.33%,Upgrade
Operating Margin,70.91%,67.66%,70.70%,68.05%,72.18%,72.42%,64.38%,47.66%,36.81%,-2.74%,Upgrade
Profit Margin,25.73%,75.48%,-6.73%,25.78%,16.64%,56.35%,145.45%,-2.73%,92.22%,327.54%,Upgrade
Free Cash Flow Margin,18.10%,-31.30%,121.29%,62.67%,-60.90%,-271.36%,-274.64%,-705.77%,-1833.12%,-7261.94%,Upgrade
Effective Tax Rate,0.74%,0.29%,-,0.02%,-,-,-,-,-,-,Upgrade
EBITDA,100.14,150.91,26.08,101.39,76.93,108.97,123.24,-1.04,16.34,6.1,Upgrade
EBITDA Margin,51.38%,95.91%,15.92%,50.42%,40.89%,71.49%,149.79%,-1.96%,92.22%,327.54%,Upgrade
EBIT,100.14,150.91,26.08,101.39,76.93,108.97,123.24,-1.04,16.34,6.1,Upgrade
EBIT Margin,51.38%,95.91%,15.92%,50.42%,40.89%,71.49%,149.79%,-1.96%,92.22%,327.54%,Upgrade
