Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Revenue,363.26,266.3,213.75,224.45,278.87,335.16,403.7,279.47,289.94,186.01,Upgrade
Revenue Growth (YoY),36.41%,24.59%,-4.77%,-19.51%,-16.80%,-16.98%,44.46%,-3.61%,55.87%,139.48%,Upgrade
Gross Profit,363.26,266.3,213.75,224.45,278.87,335.16,403.7,279.47,289.94,186.01,Upgrade
"Selling, General & Admin",167.93,150.26,148.47,164.28,195.09,223.16,226.52,174.19,225.82,153.28,Upgrade
Other Operating Expenses,24.14,33.63,48.77,30.5,31.75,54.32,45.18,36.11,37.66,24.82,Upgrade
Operating Expenses,192.06,183.88,197.24,194.78,226.84,277.48,271.71,210.3,263.47,178.1,Upgrade
Operating Income,171.2,82.42,16.51,29.67,52.04,57.68,132,69.17,26.47,7.91,Upgrade
Other Expense / Income,2.31,-0.2,2.15,1.69,0.45,23.62,-17.41,-35.1,-,-,Upgrade
Pretax Income,168.88,82.62,14.36,27.98,51.59,34.06,149.41,104.27,26.47,7.91,Upgrade
Income Tax,47.95,20.28,1.79,4.22,6.12,-23.65,33.99,42.19,-3.74,7.99,Upgrade
Net Income,120.94,62.35,12.57,23.76,45.47,57.71,115.42,62.07,30.21,-0.08,Upgrade
Preferred Dividends,5.17,11.78,13.68,21.14,22.62,21.57,19.91,9.82,3.64,2.19,Upgrade
Net Income Common,115.77,50.56,-1.1,2.62,22.85,36.14,95.5,52.25,26.57,-2.27,Upgrade
Net Income Growth,128.97%,-,-,-88.52%,-36.77%,-62.16%,82.78%,96.68%,-,-,Upgrade
Shares Outstanding (Basic),60,63,50,51,51,51,50,38,29,19,Upgrade
Shares Change,-3.99%,24.72%,-1.27%,0.46%,0.23%,1.63%,31.51%,32.04%,53.90%,57.88%,Upgrade
EPS (Basic),1.90,0.95,-0.02,0.05,0.45,0.72,1.97,1.36,0.91,-0.15,Upgrade
EPS (Diluted),1.89,0.95,-0.02,0.05,0.45,0.71,1.94,1.34,0.90,-0.15,Upgrade
EPS Growth,98.95%,-,-,-88.89%,-36.62%,-63.40%,44.78%,48.89%,-,-,Upgrade
Free Cash Flow Per Share,2.19,1.64,1.39,1.37,2.33,10.89,-0.53,-2.00,-22.32,-26.36,Upgrade
Dividend Per Share,0.240,0.240,0.240,0.310,0.520,0.520,0.490,0.480,0.480,0.480,Upgrade
Dividend Growth,0%,0%,-22.58%,-40.38%,0%,6.12%,2.08%,0%,0%,0%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,47.13%,30.95%,7.72%,13.22%,18.66%,17.21%,32.70%,24.75%,9.13%,4.25%,Upgrade
Profit Margin,31.87%,18.99%,-0.52%,1.17%,8.19%,10.78%,23.66%,18.70%,9.16%,-1.22%,Upgrade
Free Cash Flow Margin,36.34%,38.65%,32.64%,31.09%,42.38%,164.20%,-6.57%,-27.05%,-220.43%,-263.67%,Upgrade
Effective Tax Rate,28.39%,24.54%,12.44%,15.08%,11.85%,-69.45%,22.75%,40.47%,-14.13%,101.06%,Upgrade
EBITDA,185.94,103.18,32.18,46.6,65.47,50.41,165.94,119.26,37.38,14.84,Upgrade
EBITDA Margin,51.19%,38.74%,15.05%,20.76%,23.48%,15.04%,41.10%,42.67%,12.89%,7.98%,Upgrade
Depreciation & Amortization,17.05,20.55,17.82,18.62,13.89,16.35,16.53,14.99,10.91,6.93,Upgrade
EBIT,168.88,82.62,14.36,27.98,51.59,34.06,149.41,104.27,26.47,7.91,Upgrade
EBIT Margin,46.49%,31.03%,6.72%,12.47%,18.50%,10.16%,37.01%,37.31%,9.13%,4.25%,Upgrade
