Year,2022,2021,2020
"Selling, General & Admin",1.42,1.02,0.17
Operating Expenses,1.42,1.02,0.17
Operating Income,-1.42,-1.02,-0.17
Other Expense / Income,-8.59,-7.37,3.97
Pretax Income,7.17,6.35,-4.14
Income Tax,0.31,0,0
Net Income,6.86,6.35,-4.14
Net Income Growth,8.02%,-,-
Shares Outstanding (Basic),26,29,15
Shares Outstanding (Diluted),26,29,15
Shares Change,-8.14%,85.52%,-
EPS (Basic),0.26,0.22,-0.27
EPS (Diluted),0.26,0.22,-0.27
EPS Growth,18.18%,-,-
Free Cash Flow Per Share,-0.04,-0.02,-0.03
Effective Tax Rate,4.28%,-,-
EBITDA,7.17,6.35,-4.14
EBIT,7.17,6.35,-4.14
