Year,2022,2021,2020
Revenue,11.2,16.87,20.42
Revenue Growth (YoY),-33.62%,-17.37%,-
Gross Profit,11.2,16.87,20.42
"Selling, General & Admin",15.7,15.14,16.55
Operating Expenses,15.7,15.14,16.55
Operating Income,-4.5,1.73,3.86
Other Expense / Income,-1.04,0.08,-0.77
Pretax Income,-3.46,1.65,4.63
Income Tax,0.38,0.07,0.43
Net Income,-3.84,1.58,4.2
Net Income Growth,-,-62.41%,-
Shares Outstanding (Basic),17,15,15
Shares Outstanding (Diluted),17,15,15
Shares Change,13.84%,-,-
EPS (Basic),-0.23,0.11,0.28
EPS (Diluted),-0.23,0.11,0.28
EPS Growth,-,-60.71%,-
Free Cash Flow Per Share,-0.05,0.04,-0.27
Gross Margin,100.00%,100.00%,100.00%
Operating Margin,-40.21%,10.25%,18.92%
Profit Margin,-34.31%,9.36%,20.57%
Free Cash Flow Margin,-8.13%,4.02%,-19.53%
Effective Tax Rate,-,4.26%,9.32%
EBITDA,-1.5,4.69,7.97
EBITDA Margin,-13.42%,27.82%,39.04%
Depreciation & Amortization,1.96,3.05,3.34
EBIT,-3.46,1.65,4.63
EBIT Margin,-30.90%,9.77%,22.68%
