Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1991
Revenue,"50,680","43,799","31,357","39,983","36,986","34,118","33,411","30,830","32,144","31,038",Upgrade
Revenue Growth (YoY),15.71%,39.68%,-21.57%,8.10%,8.41%,2.12%,8.37%,-4.09%,3.56%,4.00%,Upgrade
Gross Profit,"50,680","43,799","31,357","39,983","36,986","34,118","33,411","30,830","32,144","31,038",Upgrade
"Selling, General & Admin","31,655","26,300","20,506","23,475","21,423","19,667","19,327","16,099","17,064","16,354",Upgrade
Other Operating Expenses,"9,440","6,810","6,555","8,079","7,441","7,026","6,042","6,793","6,089","6,796",Upgrade
Operating Expenses,"41,095","33,110","27,061","31,554","28,864","26,693","25,369","22,892","23,153","23,150",Upgrade
Operating Income,"9,585","10,689","4,296","8,429","8,122","7,425","8,042","7,938","8,991","7,888",Upgrade
Pretax Income,"9,585","10,689","4,296","8,429","8,122","7,425","8,042","7,938","8,991","7,888",Upgrade
Income Tax,"2,071","2,629","1,161","1,670","1,201","4,677","2,667","2,775","3,106","2,529",Upgrade
Net Income,"7,514","8,060","3,135","6,759","6,921","2,748","5,375","5,163","5,885","5,359",Upgrade
Net Income Growth,-6.77%,157.10%,-53.62%,-2.34%,151.86%,-48.87%,4.11%,-12.27%,9.82%,19.57%,Upgrade
Shares Outstanding (Basic),751,789,805,828,856,883,933,999,"1,045","1,082",Upgrade
Shares Outstanding (Diluted),752,790,806,830,859,886,935,"1,003","1,051","1,089",Upgrade
Shares Change,-4.81%,-1.99%,-2.89%,-3.38%,-3.05%,-5.24%,-6.78%,-4.57%,-3.49%,-4.56%,Upgrade
EPS (Basic),9.86,10.04,3.77,8.00,7.93,3.00,5.63,5.07,5.58,4.91,Upgrade
EPS (Diluted),9.85,10.02,3.77,7.99,7.91,2.99,5.61,5.05,5.56,4.88,Upgrade
EPS Growth,-1.70%,165.78%,-52.82%,1.01%,164.55%,-46.70%,11.09%,-9.17%,13.93%,25.45%,Upgrade
Free Cash Flow Per Share,25.60,16.60,5.11,14.48,8.90,14.13,7.41,9.37,9.37,6.97,Upgrade
Dividend Per Share,1.990,1.720,1.720,1.600,1.440,1.310,1.190,1.100,0.980,0.860,Upgrade
Dividend Growth,15.70%,0%,7.50%,11.11%,9.92%,10.08%,8.18%,12.24%,13.95%,10.26%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,18.91%,24.40%,13.70%,21.08%,21.96%,21.76%,24.07%,25.75%,27.97%,25.41%,Upgrade
Profit Margin,14.83%,18.40%,10.00%,16.90%,18.71%,8.05%,16.09%,16.75%,18.31%,17.27%,Upgrade
Free Cash Flow Margin,37.93%,29.90%,13.12%,29.98%,20.60%,36.57%,20.70%,30.38%,30.47%,24.30%,Upgrade
Effective Tax Rate,21.61%,24.60%,27.03%,19.81%,14.79%,62.99%,33.16%,34.96%,34.55%,32.06%,Upgrade
EBITDA,"11,211","12,384","5,839","9,617","9,415","8,746","9,137","8,981","10,003","8,908",Upgrade
EBITDA Margin,22.12%,28.27%,18.62%,24.05%,25.46%,25.63%,27.35%,29.13%,31.12%,28.70%,Upgrade
Depreciation & Amortization,"1,626","1,695","1,543","1,188","1,293","1,321","1,095","1,043","1,012","1,020",Upgrade
EBIT,"9,585","10,689","4,296","8,429","8,122","7,425","8,042","7,938","8,991","7,888",Upgrade
EBIT Margin,18.91%,24.40%,13.70%,21.08%,21.96%,21.76%,24.07%,25.75%,27.97%,25.41%,Upgrade
