Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Revenue,24.75,62.71,52.42,42.18,37.98,39.08,29.84,26.28,23.44,22.98
Revenue Growth (YoY),-60.53%,19.64%,24.29%,11.06%,-2.83%,30.97%,13.55%,12.13%,1.98%,-
Gross Profit,24.75,62.71,52.42,42.18,37.98,39.08,29.84,26.28,23.44,22.98
"Selling, General & Admin",36.83,33.58,27.41,22.61,20.68,19.44,16.3,14.56,13.28,13.43
Other Operating Expenses,15.18,7.04,8.4,4.95,4.73,4.31,4.18,6.54,4.14,3.94
Operating Expenses,52.01,40.62,35.81,27.56,25.41,23.75,20.48,21.09,17.42,17.36
Operating Income,-27.26,22.09,16.61,14.62,12.56,15.33,9.36,5.19,6.02,5.62
Other Expense / Income,-,-,-,-,-,-,-,0.17,0.17,0.17
Pretax Income,-27.26,22.09,16.61,14.62,12.56,15.33,9.36,5.02,5.84,5.45
Income Tax,-5.79,5.95,4.63,3.81,3.24,7.42,3.03,1.36,1.45,1.61
Net Income,-21.47,16.14,11.99,10.81,9.33,7.92,6.34,3.66,4.39,3.84
Net Income Growth,-,34.66%,10.89%,15.90%,17.81%,24.86%,73.39%,-16.72%,14.32%,-
Shares Outstanding (Basic),16,17,18,18,19,19,19,19,19,-
Shares Outstanding (Diluted),16,17,18,18,19,19,19,-,-,-
Shares Change,-4.74%,-4.57%,0.35%,-3.95%,1.16%,0.26%,-3.39%,-,-,-
EPS (Basic),-1.30,0.96,0.66,0.60,0.50,0.42,0.34,-,-,-
EPS (Diluted),-1.30,0.93,0.66,0.60,0.50,0.42,0.34,-,-,-
EPS Growth,-,40.91%,10.00%,20.00%,17.65%,24.63%,-,-,-,-
Free Cash Flow Per Share,1.31,1.43,0.95,0.63,0.77,0.33,0.42,0.26,0.37,-
Dividend Per Share,0.120,0.150,0.090,-,-,-,-,-,-,-
Dividend Growth,-20.00%,66.67%,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-110.13%,35.23%,31.69%,34.66%,33.08%,39.23%,31.38%,19.73%,25.67%,24.45%
Profit Margin,-86.74%,25.74%,22.86%,25.63%,24.55%,20.25%,21.24%,13.91%,18.73%,16.71%
Free Cash Flow Margin,87.44%,38.11%,32.95%,26.91%,37.80%,15.48%,25.92%,19.05%,30.18%,8.57%
Effective Tax Rate,-,26.95%,27.84%,26.07%,25.77%,48.38%,32.30%,27.16%,24.87%,29.50%
EBITDA,-26.16,23.12,17.7,16.01,13.48,16.14,10.2,5.73,6.61,6.09
EBITDA Margin,-105.68%,36.87%,33.77%,37.96%,35.49%,41.31%,34.17%,21.81%,28.20%,26.51%
Depreciation & Amortization,1.1,1.03,1.09,1.39,0.91,0.81,0.83,0.71,0.77,0.65
EBIT,-27.26,22.09,16.61,14.62,12.56,15.33,9.36,5.02,5.84,5.45
EBIT Margin,-110.13%,35.23%,31.69%,34.66%,33.08%,39.23%,31.38%,19.10%,24.93%,23.70%
