Year,2022,2021,2020
Revenue,66.39,63.35,46.44
Revenue Growth (YoY),4.80%,36.41%,-
Gross Profit,66.39,63.35,46.44
"Selling, General & Admin",29,26.7,24.86
Other Operating Expenses,10.31,8.98,8.18
Operating Expenses,39.31,35.68,33.04
Operating Income,27.09,27.68,13.41
Pretax Income,27.09,27.68,13.41
Income Tax,6.94,6.6,2.59
Net Income,20.14,21.08,10.82
Preferred Dividends,0,91.66,3.13
Net Income Common,20.14,-70.59,7.69
Shares Outstanding (Basic),20,20,-
EPS (Basic),1.01,-6.72,1.51
EPS (Diluted),1.00,-6.72,1.50
Free Cash Flow Per Share,1.44,1.15,-
Gross Margin,100.00%,100.00%,100.00%
Operating Margin,40.79%,43.69%,28.87%
Profit Margin,30.34%,-111.41%,16.56%
Free Cash Flow Margin,43.47%,36.41%,27.46%
Effective Tax Rate,25.64%,23.85%,19.30%
EBITDA,27.77,28.71,14.68
EBITDA Margin,41.83%,45.32%,31.61%
Depreciation & Amortization,0.69,1.03,1.27
EBIT,27.09,27.68,13.41
EBIT Margin,40.79%,43.69%,28.87%
