Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Revenue,905.18,698.99,502.03,383.94,303.96,242.67,188.23,146.96,115.91,83.83,Upgrade
Revenue Growth (YoY),29.50%,39.23%,30.76%,26.31%,25.26%,28.92%,28.08%,26.79%,38.27%,50.96%,Upgrade
Cost of Revenue,782.99,594.65,420.13,319.01,252.59,199.62,154.94,121.73,96.04,68.19,Upgrade
Gross Profit,122.19,104.35,81.9,64.92,51.37,43.05,33.29,25.23,19.87,15.64,Upgrade
"Selling, General & Admin",128.88,110.54,69.68,53.84,42.1,35.92,30.45,30.79,25.92,17.74,Upgrade
Research & Development,25.13,16.87,9.95,7.03,5.8,9.77,9.53,11.22,9.9,4.89,Upgrade
Other Operating Expenses,10.92,11.97,7.07,5.63,4.51,0,0,0,0,0,Upgrade
Operating Expenses,164.93,139.37,86.7,66.49,52.41,45.69,39.99,42,35.82,22.63,Upgrade
Operating Income,-42.75,-35.03,-4.8,-1.57,-1.05,-2.64,-6.7,-16.78,-15.95,-6.99,Upgrade
Interest Expense / Income,4.27,0.01,1.38,1.35,1.2,0.53,0.22,0.33,6.73,0.61,Upgrade
Other Expense / Income,-2.82,0.19,-0.46,-1.28,-1.31,-1.24,-0.06,-0.01,-1.49,0.67,Upgrade
Pretax Income,-44.2,-35.22,-5.73,-1.64,-0.93,-1.93,-6.86,-17.09,-21.18,-8.27,Upgrade
Income Tax,0.48,0.31,0.11,0.17,-0.01,-0.43,0.04,0.11,-0.01,-0.09,Upgrade
Net Income,-44.67,-35.53,-5.84,-1.81,-0.93,-1.5,-6.9,-17.21,-21.18,-8.18,Upgrade
Shares Outstanding (Basic),41,40,36,35,32,30,29,28,13,1,Upgrade
Shares Outstanding (Diluted),41,40,36,35,32,30,29,28,13,1,Upgrade
Shares Change,1.56%,11.93%,3.50%,8.40%,8.02%,3.72%,3.22%,113.68%,885.85%,57.19%,Upgrade
EPS (Basic),-1.10,-0.89,-0.16,-0.05,-0.03,-0.05,-0.24,-0.62,-1.64,-6.23,Upgrade
EPS (Diluted),-1.10,-0.89,-0.16,-0.05,-0.03,-0.05,-0.24,-0.62,-1.64,-6.23,Upgrade
Free Cash Flow Per Share,-0.61,-0.12,0.39,0.31,-1.39,0.22,0.11,-0.55,-1.27,-1.90,Upgrade
Gross Margin,13.50%,14.93%,16.31%,16.91%,16.90%,17.74%,17.68%,17.17%,17.15%,18.66%,Upgrade
Operating Margin,-4.72%,-5.01%,-0.96%,-0.41%,-0.34%,-1.09%,-3.56%,-11.41%,-13.76%,-8.33%,Upgrade
Profit Margin,-4.94%,-5.08%,-1.16%,-0.47%,-0.30%,-0.62%,-3.66%,-11.71%,-18.27%,-9.75%,Upgrade
Free Cash Flow Margin,-2.77%,-0.70%,2.81%,2.81%,-14.56%,2.69%,1.63%,-10.42%,-14.18%,-2.98%,Upgrade
EBITDA,-29.01,-23.25,2.73,5.34,4.78,2.83,-2.79,-14.22,-12.78,-6.77,Upgrade
EBITDA Margin,-3.20%,-3.33%,0.54%,1.39%,1.57%,1.17%,-1.48%,-9.68%,-11.03%,-8.07%,Upgrade
Depreciation & Amortization,10.92,11.97,7.07,5.63,4.51,4.23,3.85,2.54,1.67,0.89,Upgrade
EBIT,-39.93,-35.21,-4.35,-0.29,0.26,-1.4,-6.64,-16.77,-14.46,-7.66,Upgrade
EBIT Margin,-4.41%,-5.04%,-0.87%,-0.08%,0.09%,-0.58%,-3.53%,-11.41%,-12.47%,-9.14%,Upgrade
