Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Revenue,117.75,159.16,4.36,1.19,1.56,0.52,36.63,18.98,21.4,3.42,Upgrade
Revenue Growth (YoY),-26.02%,3553.04%,267.61%,-24.14%,200.67%,-98.58%,93.01%,-11.34%,526.16%,-,Upgrade
Cost of Revenue,151.43,42.4,6.92,2.48,3.35,3.47,26.52,16.6,11.79,0.96,Upgrade
Gross Profit,-33.67,116.77,-2.56,-1.3,-1.79,-2.95,10.11,2.37,9.62,2.46,Upgrade
"Selling, General & Admin",56.74,174.36,6.4,2.07,4,5.73,7.6,8.89,6.58,4.44,Upgrade
Other Operating Expenses,573.46,-44.92,0.86,0.87,6.29,5.5,18.09,19.17,9.24,1.69,Upgrade
Operating Expenses,630.2,129.43,7.26,2.94,10.29,11.23,25.7,28.05,15.82,6.14,Upgrade
Operating Income,-663.87,-12.66,-9.82,-4.24,-12.08,-14.18,-15.58,-25.68,-6.21,-3.68,Upgrade
Interest Expense / Income,14.98,1.57,0.02,0.05,0.08,1.31,3.14,4.25,0.54,0,Upgrade
Other Expense / Income,29.73,0.29,0.61,-0.77,0.59,15.94,-1.58,-4.83,0.05,-0.23,Upgrade
Pretax Income,-708.58,-14.52,-10.45,-3.52,-12.75,-31.44,-17.15,-25.1,-6.8,-3.45,Upgrade
Income Tax,-21.84,22.58,0,0,0.07,-0.1,11.52,-8.16,-4.91,0,Upgrade
Net Income,-686.74,-37.1,-10.45,-3.52,-12.81,-31.33,-28.67,-16.94,-1.88,-3.45,Upgrade
Preferred Dividends,0,0,0,0,0,0,0,0,1.27,0,Upgrade
Net Income Common,-686.74,-37.1,-10.45,-3.52,-12.81,-31.33,-28.67,-16.94,-3.15,-3.45,Upgrade
Shares Outstanding (Basic),113,99,81,7,5,2,1,1,1,1,Upgrade
Shares Outstanding (Diluted),113,99,81,7,5,2,1,1,1,1,Upgrade
Shares Change,14.22%,22.02%,1121.57%,25.36%,226.00%,71.90%,6.82%,21.85%,26.63%,65.17%,Upgrade
EPS (Basic),-6.05,-0.37,-0.13,-0.53,-2.41,-19.20,-30.20,-19.04,-2.56,-5.92,Upgrade
EPS (Diluted),-6.05,-0.37,-0.13,-0.53,-2.41,-19.20,-30.20,-19.04,-2.56,-5.92,Upgrade
Free Cash Flow Per Share,-0.35,-2.95,-0.31,-0.50,-2.58,-6.63,6.83,-3.40,-4.68,-8.14,Upgrade
Gross Margin,-28.60%,73.36%,-58.71%,-109.43%,-114.53%,-567.96%,27.61%,12.51%,44.93%,72.00%,Upgrade
Operating Margin,-563.78%,-7.96%,-225.34%,-357.66%,-772.95%,-2729.58%,-42.54%,-135.32%,-29.00%,-107.52%,Upgrade
Profit Margin,-583.20%,-23.31%,-239.80%,-296.74%,-820.18%,-6030.07%,-78.26%,-89.26%,-14.73%,-100.94%,Upgrade
Free Cash Flow Margin,-33.31%,-183.97%,-585.61%,-280.44%,-879.45%,-2081.57%,17.70%,-15.91%,-15.95%,-137.10%,Upgrade
EBITDA,-614.89,1.95,-7.36,-2.46,-10.66,-30.1,-14,-20.84,-6.25,-2.41,Upgrade
EBITDA Margin,-522.19%,1.23%,-168.95%,-207.47%,-682.30%,-5792.98%,-38.23%,-109.83%,-29.18%,-70.43%,Upgrade
Depreciation & Amortization,78.71,14.9,3.06,1.01,2,0.03,0,0.01,0.01,1.04,Upgrade
EBIT,-693.6,-12.95,-10.43,-3.47,-12.66,-30.13,-14.01,-20.85,-6.25,-3.45,Upgrade
EBIT Margin,-589.03%,-8.14%,-239.27%,-292.36%,-810.54%,-5798.00%,-38.24%,-109.87%,-29.21%,-100.90%,Upgrade
