Year,2022,2021,2020,2019
Revenue,198.36,150.53,67.37,44.9
Revenue Growth (YoY),31.77%,123.45%,50.03%,-
Gross Profit,198.36,150.53,67.37,44.9
"Selling, General & Admin",112.82,64.63,29.24,16.97
Other Operating Expenses,42.12,45.56,29.44,15.12
Operating Expenses,154.94,110.19,58.68,32.09
Operating Income,43.42,40.35,8.69,12.81
Interest Expense / Income,9.51,22.19,11.72,11.37
Other Expense / Income,-1.35,16.06,0.72,-
Pretax Income,35.27,2.1,-3.75,1.44
Income Tax,6.06,-7.07,-26.84,-10.5
Net Income,29.21,9.17,23.09,11.94
Net Income Growth,218.36%,-60.26%,93.33%,-
Shares Outstanding (Basic),117,73,62,62
Shares Outstanding (Diluted),122,112,65,63
Shares Change,8.30%,73.07%,2.34%,-
EPS (Basic),0.25,0.13,0.37,0.19
EPS (Diluted),0.24,0.08,0.36,0.19
EPS Growth,200.00%,-77.78%,89.47%,-
Free Cash Flow Per Share,0.52,0.67,0.17,0.27
Dividend Per Share,0.090,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,21.89%,26.80%,12.90%,28.53%
Profit Margin,14.72%,6.09%,34.27%,26.59%
Free Cash Flow Margin,30.37%,32.48%,15.79%,37.38%
Effective Tax Rate,17.19%,-336.03%,-,-729.81%
EBITDA,72.13,54.99,23.54,23.39
EBITDA Margin,36.36%,36.53%,34.94%,52.10%
Depreciation & Amortization,27.35,30.7,15.57,10.58
EBIT,44.78,24.29,7.97,12.81
EBIT Margin,22.57%,16.14%,11.83%,28.53%
