Year,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 2004
Revenue,213.16,216.75,276.92,255.08,259.29,279.86,379.75,433.63,381.35,331.99,Upgrade
Revenue Growth (YoY),-1.66%,-21.73%,8.56%,-1.62%,-7.35%,-26.30%,-12.43%,13.71%,14.87%,-7.16%,Upgrade
Cost of Revenue,47.23,36.05,41.91,50.86,56.35,50.14,90.44,110.94,97.6,96.86,Upgrade
Gross Profit,165.92,180.7,235.01,204.22,202.94,229.72,289.3,322.7,283.74,235.13,Upgrade
"Selling, General & Admin",14.94,15.26,16.33,18.15,16.51,20.71,15.19,15.39,13.86,12.36,Upgrade
Other Operating Expenses,0,0,0,0,0,0,0,0,0,-2.79,Upgrade
Operating Expenses,14.94,15.26,16.33,18.15,16.51,20.71,15.19,15.39,13.86,9.57,Upgrade
Operating Income,150.98,165.44,218.67,186.07,186.43,209.01,274.11,307.3,269.89,225.56,Upgrade
Interest Expense / Income,55.02,55.42,73.4,58.32,53.04,59.77,80.85,79.33,68.64,58.2,Upgrade
Other Expense / Income,13.6,-1.84,261.34,55.8,46.36,130.87,237.78,152.55,-69.62,62.89,Upgrade
Pretax Income,82.36,111.86,-116.06,71.95,87.03,18.37,-44.53,75.42,270.87,104.47,Upgrade
Net Income,82.36,111.86,-116.06,71.95,87.03,18.37,-44.53,75.42,270.87,104.47,Upgrade
Net Income Growth,-26.37%,-,-,-17.33%,373.76%,-,-,-72.16%,159.28%,-,Upgrade
Shares Outstanding (Basic),65,64,67,69,72,73,75,79,75,68,Upgrade
Shares Change,1.70%,-3.29%,-3.82%,-4.14%,-1.44%,-2.86%,-4.47%,5.34%,10.77%,2.97%,Upgrade
EPS (Basic),1.28,1.71,-1.73,1.02,1.19,0.25,-0.57,0.96,3.63,1.53,Upgrade
EPS (Diluted),1.28,1.71,-1.73,1.02,1.19,0.25,-0.57,0.96,3.63,1.53,Upgrade
EPS Growth,-25.15%,-,-,-14.29%,376.00%,-,-,-73.55%,137.25%,-,Upgrade
Free Cash Flow Per Share,-0.04,7.31,-7.25,-1.92,3.65,8.77,5.79,0.55,-3.91,-0.29,Upgrade
Dividend Per Share,1.410,1.440,1.800,1.800,1.800,1.950,2.400,2.400,2.400,2.400,Upgrade
Dividend Growth,-2.08%,-20.00%,0%,0%,-7.69%,-18.75%,0%,0%,0%,-23.08%,Upgrade
Gross Margin,77.84%,83.37%,84.87%,80.06%,78.27%,82.08%,76.18%,74.42%,74.41%,70.82%,Upgrade
Operating Margin,70.83%,76.33%,78.97%,72.95%,71.90%,74.68%,72.18%,70.87%,70.77%,67.94%,Upgrade
Profit Margin,38.64%,51.61%,-41.91%,28.21%,33.56%,6.56%,-11.73%,17.39%,71.03%,31.47%,Upgrade
Free Cash Flow Margin,-1.26%,217.15%,-174.23%,-52.00%,101.74%,229.55%,114.86%,9.93%,-76.77%,-6.00%,Upgrade
EBITDA,137.38,167.28,-42.67,130.27,140.07,78.14,36.32,154.75,339.51,162.67,Upgrade
EBITDA Margin,64.45%,77.18%,-15.41%,51.07%,54.02%,27.92%,9.57%,35.69%,89.03%,49.00%,Upgrade
EBIT,137.38,167.28,-42.67,130.27,140.07,78.14,36.32,154.75,339.51,162.67,Upgrade
EBIT Margin,64.45%,77.18%,-15.41%,51.07%,54.02%,27.92%,9.57%,35.69%,89.03%,49.00%,Upgrade
