Year,2022,2021,2020,2019
Revenue,"28,211","22,819","23,109","24,618"
Revenue Growth (YoY),23.63%,-1.25%,-6.13%,-
"Selling, General & Admin","9,529","8,459","9,262","10,303"
Pretax Income,"10,356","7,247","5,225","6,398"
Income Tax,"3,529","1,909","1,385","2,053"
Net Income,"6,827","5,618","2,060","4,345"
Preferred Dividends,313,360,388,419
Net Income Common,"6,514","5,258","1,672","3,926"
Net Income Growth,23.89%,214.47%,-57.41%,-
Shares Outstanding (Basic),-,"6,401","6,654","7,472"
Shares Outstanding (Diluted),-,"6,401","6,654","7,472"
Shares Change,-,-3.80%,-10.96%,-
EPS (Basic),-,0.67,0.14,0.47
EPS (Diluted),-,0.67,0.14,0.47
EPS Growth,-,378.57%,-70.21%,-
Free Cash Flow Per Share,-,-0.34,5.75,-1.28
Profit Margin,23.09%,23.04%,7.24%,15.95%
Free Cash Flow Margin,75.42%,-9.59%,165.42%,-38.97%
Effective Tax Rate,34.08%,26.34%,26.51%,32.09%
Depreciation & Amortization,"1,328","1,234","1,288","1,599"
