Year,2022,2021,2020,2019,2018,2017,2016
Revenue,65.45,62.75,50.5,48.89,39.56,33.88,26.95
Revenue Growth (YoY),4.30%,24.27%,3.28%,23.60%,16.74%,25.72%,-
Gross Profit,65.45,62.75,50.5,48.89,39.56,33.88,26.95
"Selling, General & Admin",27.75,26.61,23.71,24.03,19.42,16.47,14.19
Other Operating Expenses,6.71,8.16,7.13,4.84,7.03,2.87,2.19
Operating Expenses,34.46,34.78,30.84,28.88,26.45,19.35,16.38
Operating Income,30.99,27.97,19.66,20.01,13.11,14.54,10.57
Other Expense / Income,-,-0.24,-,-,-,-,0.07
Pretax Income,30.99,28.21,19.66,20.01,13.11,14.54,10.5
Income Tax,6.01,6.28,4.16,4.18,2.24,6.85,3.57
Net Income,24.98,21.93,15.5,15.83,10.87,7.69,6.93
Net Income Growth,13.91%,41.49%,-2.07%,45.63%,41.34%,10.92%,-
Shares Outstanding (Basic),17,17,17,17,17,16,-
Shares Change,2.23%,1.55%,-2.86%,1.38%,6.72%,-,-
EPS (Basic),1.43,1.29,0.91,0.92,0.74,0.59,0.54
EPS (Diluted),1.35,1.20,0.88,0.86,0.68,0.54,0.50
EPS Growth,12.50%,36.36%,2.80%,25.88%,26.87%,6.35%,-
Free Cash Flow Per Share,1.27,1.11,0.86,1.10,0.74,0.62,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,47.35%,44.58%,38.93%,40.93%,33.14%,42.90%,39.22%
Profit Margin,38.17%,34.95%,30.70%,32.38%,27.48%,22.70%,25.72%
Free Cash Flow Margin,33.96%,30.22%,28.74%,39.10%,31.85%,29.50%,33.91%
Effective Tax Rate,19.38%,22.25%,21.14%,20.91%,17.07%,47.10%,34.00%
EBITDA,31.68,29.07,20.62,21.04,13.72,15.09,11.05
EBITDA Margin,48.40%,46.33%,40.83%,43.04%,34.69%,44.54%,40.99%
Depreciation & Amortization,0.69,0.86,0.96,1.03,0.62,0.56,0.54
EBIT,30.99,28.21,19.66,20.01,13.11,14.54,10.5
EBIT Margin,47.35%,44.96%,38.93%,40.93%,33.14%,42.90%,38.98%
