Year,2022,2021,2020,2019,2018,2017,2016
Revenue,376.45,345.2,283.52,215.54,345.2,146.73,0
Revenue Growth (YoY),9.05%,21.76%,31.54%,-37.56%,135.26%,-,-
Cost of Revenue,157.7,176.19,151.67,118.06,176.19,86.93,0
Gross Profit,218.75,169.01,131.84,97.48,169.01,59.8,0
"Selling, General & Admin",137.7,122.11,104.78,89.53,122.11,67.13,0
Other Operating Expenses,-2.29,-1.84,-0.37,-1.43,-1.84,-0.86,0
Operating Expenses,135.41,120.27,104.41,88.11,120.27,66.28,0
Operating Income,83.34,48.74,27.44,9.38,48.74,-6.48,-0
Other Expense / Income,-4.39,3.3,-1.89,-15.88,3.3,-13.49,-
Pretax Income,87.73,45.44,29.33,25.25,45.44,7.02,-0
Income Tax,2.26,1.75,2.08,1.69,1.75,-0.01,0
Net Income,85.47,43.7,27.25,23.57,43.7,7.03,-0
Net Income Growth,95.59%,60.35%,15.64%,-46.07%,521.45%,-,-
Shares Outstanding (Basic),49,49,48,6,5,4,4
Shares Outstanding (Diluted),-,-,-,6,5,4,4
Shares Change,0.56%,0.90%,754.97%,8.85%,38.82%,-,-
EPS (Basic),1.74,0.89,0.59,0.69,0.89,0.05,-
EPS (Diluted),1.74,0.89,0.59,0.69,0.89,0.05,-
EPS Growth,95.51%,50.85%,-14.49%,-22.47%,1680.00%,-,-
Free Cash Flow Per Share,-1.75,2.63,-1.88,3.70,24.65,3.35,-0.00
Dividend Per Share,0.220,0.330,0.090,-,-,-,-
Dividend Growth,-33.33%,266.67%,-,-,-,-,-
Gross Margin,58.11%,48.96%,46.50%,45.23%,48.96%,40.76%,-
Operating Margin,22.14%,14.12%,9.68%,4.35%,14.12%,-4.41%,-
Profit Margin,22.70%,12.66%,9.61%,10.93%,12.66%,4.79%,-
Free Cash Flow Margin,-22.86%,37.17%,-32.07%,9.73%,37.17%,8.56%,-
Effective Tax Rate,2.58%,3.84%,7.08%,6.68%,3.84%,-0.21%,-
EBITDA,91.4,49.01,31.94,27.21,49.01,8.5,-0
EBITDA Margin,24.28%,14.20%,11.26%,12.62%,14.20%,5.79%,-
Depreciation & Amortization,3.67,3.56,2.61,1.96,3.56,1.49,0
EBIT,87.73,45.44,29.33,25.25,45.44,7.02,-0
EBIT Margin,23.30%,13.16%,10.34%,11.72%,13.16%,4.78%,-
