Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,"2,840.12","2,633.98","2,536.49","2,477.3","2,382.21","1,691.77","1,596.63","1,505.51","1,407.12","6,271",Upgrade
Revenue Growth (YoY),7.83%,3.84%,2.39%,3.99%,40.81%,5.96%,6.05%,6.99%,-77.56%,13.77%,Upgrade
Cost of Revenue,"2,463.91","2,315.88","2,198.33","2,119.96","2,037.87","1,401.52","1,303.11",0,0,"3,467",Upgrade
Gross Profit,376.21,318.1,338.16,357.34,344.34,290.25,293.52,"1,505.51","1,407.12","2,804",Upgrade
"Selling, General & Admin",0,0,0,0,0,0,0,226.71,206.69,"1,237",Upgrade
Other Operating Expenses,0,0,0,0,0,0,0,"1,046.25",977.58,0,Upgrade
Operating Expenses,0,0,0,0,0,0,0,"1,272.97","1,184.27","1,237",Upgrade
Operating Income,376.21,318.1,338.16,357.34,344.34,290.25,293.52,232.54,222.85,"1,567",Upgrade
Interest Expense / Income,2.01,4.13,0.73,0.86,2.46,1.24,0.1,0,0,0,Upgrade
Other Expense / Income,-2.25,-62.44,-31.09,-40.22,-29.44,-26.68,-26.68,-33.71,-28.42,885,Upgrade
Pretax Income,376.45,376.4,368.52,396.71,371.32,315.7,320.09,266.25,251.26,682,Upgrade
Income Tax,77.88,78.54,75.21,79.88,83.1,118.7,109.73,91.57,83.76,519,Upgrade
Net Income,298.57,297.86,293.3,316.82,288.22,197,210.37,174.68,167.51,163,Upgrade
Net Income Growth,0.24%,1.55%,-7.42%,9.92%,46.31%,-6.35%,20.43%,4.28%,2.76%,1.88%,Upgrade
Shares Outstanding (Basic),46,46,46,46,46,46,46,46,46,47,Upgrade
Shares Outstanding (Diluted),52,52,52,52,52,52,52,53,53,53,Upgrade
Shares Change,-0.02%,-0.01%,-0.01%,0.01%,-0.04%,-0.19%,-0.12%,-0.22%,-0.45%,-1.29%,Upgrade
EPS (Basic),6.41,6.40,6.30,6.80,6.19,4.23,4.52,3.75,3.59,3.46,Upgrade
EPS (Diluted),5.71,5.69,5.61,6.06,5.51,3.76,4.01,3.33,3.18,3.08,Upgrade
EPS Growth,0.35%,1.43%,-7.43%,9.98%,46.54%,-6.23%,20.42%,4.72%,3.25%,3.01%,Upgrade
Free Cash Flow Per Share,6.48,5.50,6.21,5.70,4.62,3.64,4.96,4.43,3.60,18.45,Upgrade
Dividend Per Share,4.440,4.140,5.860,3.600,3.360,3.131,2.190,3.454,2.540,1.779,Upgrade
Dividend Growth,7.25%,-29.35%,62.78%,7.14%,7.31%,42.97%,-36.60%,35.98%,42.78%,-62.98%,Upgrade
Gross Margin,13.25%,12.08%,13.33%,14.42%,14.45%,17.16%,18.38%,100.00%,100.00%,44.71%,Upgrade
Operating Margin,13.25%,12.08%,13.33%,14.42%,14.45%,17.16%,18.38%,15.45%,15.84%,24.99%,Upgrade
Profit Margin,10.51%,11.31%,11.56%,12.79%,12.10%,11.64%,13.18%,11.60%,11.90%,2.60%,Upgrade
Free Cash Flow Margin,10.54%,9.64%,11.32%,10.63%,8.95%,9.94%,14.35%,13.60%,11.84%,13.73%,Upgrade
Effective Tax Rate,20.69%,20.87%,20.41%,20.14%,22.38%,37.60%,34.28%,34.39%,33.34%,76.10%,Upgrade
EBITDA,378.46,380.54,369.25,397.56,373.78,316.93,320.19,266.25,251.26,682,Upgrade
EBITDA Margin,13.33%,14.45%,14.56%,16.05%,15.69%,18.73%,20.05%,17.68%,17.86%,10.88%,Upgrade
EBIT,378.46,380.54,369.25,397.56,373.78,316.93,320.19,266.25,251.26,682,Upgrade
EBIT Margin,13.33%,14.45%,14.56%,16.05%,15.69%,18.73%,20.05%,17.68%,17.86%,10.88%,Upgrade
