Year,2022,2021,2020,2019,2018,2017,2016
Revenue,74.57,173.24,378.26,"1,285.24","1,603.63",763.01,54.87
Revenue Growth (YoY),-56.96%,-54.20%,-70.57%,-19.85%,110.17%,1290.48%,-
Cost of Revenue,62.69,89.72,285.77,769.69,"1,084.73",566.71,59.85
Gross Profit,11.88,83.52,92.49,515.55,518.9,196.31,-4.98
"Selling, General & Admin",77.45,129.05,192.45,"1,164.9",412.65,178.4,144.86
Research & Development,15.96,22.71,37.52,79.08,94.99,71.52,51.17
Other Operating Expenses,0,3.1,69.36,0,0,0,0
Operating Expenses,93.41,154.86,299.33,"1,243.98",507.64,249.92,196.03
Operating Income,-81.53,-71.34,-206.84,-728.44,11.26,-53.61,-201.01
Interest Expense / Income,24.14,32.45,34.33,19.02,0,0,0
Other Expense / Income,81.99,-8.93,3.57,156.48,3.38,12.74,-0.68
Pretax Income,-187.66,-94.86,-244.74,-903.93,7.88,-66.34,-200.33
Income Tax,2.52,6.87,49.2,1.97,5.71,18.52,0.17
Net Income,-190.18,-101.73,-293.94,-905.9,2.17,-84.86,-200.49
Shares Outstanding (Basic),300,300,297,282,101,63,57
Shares Outstanding (Diluted),300,300,297,282,101,63,57
Shares Change,0.13%,0.80%,5.39%,179.08%,60.95%,9.62%,-
EPS (Basic),-22.05,-11.90,-34.65,-112.35,-25.90,-72.80,-148.05
EPS (Diluted),-22.05,-11.90,-34.65,-112.35,-25.90,-72.80,-148.05
Free Cash Flow Per Share,-1.23,-3.55,-4.70,20.48,78.88,90.29,-75.97
Gross Margin,15.93%,48.21%,24.45%,40.11%,32.36%,25.73%,-9.08%
Operating Margin,-109.34%,-41.18%,-54.68%,-56.68%,0.70%,-7.03%,-366.31%
Profit Margin,-255.05%,-58.72%,-77.71%,-70.48%,0.14%,-11.12%,-365.37%
Free Cash Flow Margin,-14.15%,-17.55%,-10.55%,12.84%,14.21%,21.24%,-226.63%
Effective Tax Rate,-,-,-,-,72.45%,-,-
EBITDA,-157.96,-50.05,-195.18,-872.62,12.58,-62.27,-197.38
EBITDA Margin,-211.83%,-28.89%,-51.60%,-67.90%,0.78%,-8.16%,-359.69%
Depreciation & Amortization,5.56,12.36,15.23,12.29,4.7,4.08,2.95
EBIT,-163.52,-62.4,-210.41,-884.91,7.88,-66.34,-200.33
EBIT Margin,-219.29%,-36.02%,-55.62%,-68.85%,0.49%,-8.69%,-365.07%
