Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,100.31,100.16,88.17,72.95,65.75,57.56,55.85,57.41,56.94,59.27,Upgrade
Revenue Growth (YoY),0.15%,13.60%,20.86%,10.95%,14.23%,3.05%,-2.71%,0.84%,-3.94%,-10.71%,Upgrade
Gross Profit,100.31,100.16,88.17,72.95,65.75,57.56,55.85,57.41,56.94,59.27,Upgrade
"Selling, General & Admin",56.18,50.73,44.53,36.29,31.32,29.37,25.32,24.17,25.08,24.31,Upgrade
Other Operating Expenses,11.78,11.74,18.79,13.25,8.16,7.6,9.42,8.86,9.08,9.16,Upgrade
Operating Expenses,67.96,62.47,63.32,49.54,39.49,36.97,34.74,33.03,34.16,33.47,Upgrade
Operating Income,32.35,37.69,24.85,23.41,26.26,20.59,21.11,24.38,22.78,25.8,Upgrade
Other Expense / Income,-,-,1.64,-,-,-,-,2.57,-,1.02,Upgrade
Pretax Income,32.35,37.69,23.21,23.41,26.26,20.59,21.11,21.81,22.78,24.78,Upgrade
Income Tax,5.73,7.13,3.99,3.91,4.25,7.16,5.35,5.34,5.69,6.18,Upgrade
Net Income,26.62,30.55,19.22,19.5,22.01,13.43,15.76,16.47,17.09,18.59,Upgrade
Net Income Growth,-12.88%,58.95%,-1.45%,-11.40%,63.86%,-14.77%,-4.30%,-3.60%,-8.11%,-18.11%,Upgrade
Shares Outstanding (Basic),16,16,16,14,12,12,12,12,12,12,Upgrade
Shares Change,-1.59%,-0.88%,15.96%,11.42%,0.82%,0.93%,-0.76%,-0.92%,-0.64%,0.95%,Upgrade
EPS (Basic),1.71,1.92,1.30,1.46,1.79,1.10,1.30,1.35,1.38,1.51,Upgrade
EPS (Diluted),1.71,1.92,1.30,1.46,1.79,1.10,1.30,1.35,1.38,1.50,Upgrade
EPS Growth,-10.94%,47.69%,-10.96%,-18.44%,62.73%,-15.38%,-3.70%,-2.17%,-8.00%,-18.92%,Upgrade
Free Cash Flow Per Share,2.02,2.13,1.36,1.43,2.01,1.45,1.40,1.53,1.75,2.41,Upgrade
Dividend Per Share,1.120,1.110,1.080,1.180,1.080,1.040,1.040,1.040,1.040,1.000,Upgrade
Dividend Growth,0.90%,2.78%,-8.47%,9.26%,3.85%,0%,0%,0%,4.00%,19.05%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,32.25%,37.63%,28.18%,32.09%,39.94%,35.77%,37.79%,42.47%,40.01%,43.53%,Upgrade
Profit Margin,26.54%,30.51%,21.80%,26.74%,33.48%,23.34%,28.22%,28.69%,30.01%,31.37%,Upgrade
Free Cash Flow Margin,31.22%,33.55%,24.55%,26.86%,37.61%,30.71%,30.31%,32.48%,37.80%,50.30%,Upgrade
Effective Tax Rate,17.72%,18.93%,17.19%,16.68%,16.18%,34.75%,25.33%,24.47%,24.99%,24.95%,Upgrade
EBITDA,34.74,39.82,25.19,25.16,28.02,22.23,22.7,23.7,24.75,26.85,Upgrade
EBITDA Margin,34.63%,39.75%,28.57%,34.49%,42.61%,38.62%,40.64%,41.27%,43.48%,45.30%,Upgrade
Depreciation & Amortization,2.39,2.13,1.98,1.75,1.75,1.64,1.59,1.89,1.98,2.07,Upgrade
EBIT,32.35,37.69,23.21,23.41,26.26,20.59,21.11,21.81,22.78,24.78,Upgrade
EBIT Margin,32.25%,37.63%,26.33%,32.09%,39.94%,35.77%,37.79%,37.99%,40.01%,41.80%,Upgrade
