Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1995
Revenue,64.99,49.71,56.84,58.11,53.62,43.77,39.73,37.39,36.3,37.42,Upgrade
Revenue Growth (YoY),30.75%,-12.55%,-2.19%,8.39%,22.49%,10.17%,6.28%,2.98%,-2.99%,235.79%,Upgrade
Gross Profit,64.99,49.71,56.84,58.11,53.62,43.77,39.73,37.39,36.3,37.42,Upgrade
"Selling, General & Admin",27.39,25.99,26.62,25.91,25.22,22.54,20.43,20.54,18.84,17.96,Upgrade
Other Operating Expenses,9.33,10.26,9.65,9.79,10.4,10.44,9.52,10.21,13.12,16.8,Upgrade
Operating Expenses,36.72,36.25,36.26,35.7,35.62,32.98,29.95,30.74,31.96,34.76,Upgrade
Operating Income,28.28,13.45,20.58,22.41,18,10.79,9.78,6.64,4.34,2.66,Upgrade
Pretax Income,28.28,13.45,20.58,22.41,18,10.79,9.78,6.64,4.34,2.66,Upgrade
Income Tax,6.46,2.98,4.83,5.15,7.76,3.39,3.43,2.15,-15.08,0.03,Upgrade
Net Income,21.82,10.47,15.75,17.27,10.24,7.4,6.36,4.49,19.42,2.63,Upgrade
Net Income Growth,108.37%,-33.50%,-8.79%,68.58%,38.33%,16.45%,41.57%,-76.88%,637.68%,-,Upgrade
Shares Outstanding (Basic),22,22,23,23,23,22,22,22,22,22,Upgrade
Shares Outstanding (Diluted),22,22,23,23,23,23,22,22,22,22,Upgrade
Shares Change,-0.39%,-1.90%,0.37%,0.16%,0.33%,0.24%,0.28%,0.28%,0.12%,0.11%,Upgrade
EPS (Basic),0.98,0.47,0.69,0.76,0.45,0.33,0.28,0.20,0.87,0.12,Upgrade
EPS (Diluted),0.98,0.47,0.69,0.76,0.45,0.33,0.28,0.20,0.87,0.12,Upgrade
EPS Growth,108.51%,-31.88%,-9.21%,68.89%,36.36%,17.86%,40.00%,-77.01%,625.00%,-,Upgrade
Free Cash Flow Per Share,0.75,0.93,0.57,0.89,0.50,0.79,0.51,0.47,0.58,0.76,Upgrade
Dividend Per Share,0.210,0.250,0.180,0.140,0.096,0.080,0.079,-,-,-,Upgrade
Dividend Growth,-16.00%,38.89%,28.57%,45.83%,20.00%,1.27%,-,-,-,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,43.51%,27.06%,36.20%,38.57%,33.57%,24.65%,24.63%,17.76%,11.96%,7.11%,Upgrade
Profit Margin,33.57%,21.07%,27.71%,29.71%,19.10%,16.91%,16.00%,12.01%,53.50%,7.04%,Upgrade
Free Cash Flow Margin,25.60%,41.47%,22.95%,34.56%,21.01%,40.49%,28.86%,28.33%,35.93%,45.13%,Upgrade
Effective Tax Rate,22.83%,22.16%,23.47%,22.96%,43.09%,31.39%,35.02%,32.37%,-347.33%,1.09%,Upgrade
EBITDA,31.8,16.67,23.54,25.13,20.91,13.54,12.38,9.92,6.24,4.54,Upgrade
EBITDA Margin,48.92%,33.53%,41.42%,43.24%,39.01%,30.93%,31.16%,26.55%,17.19%,12.13%,Upgrade
Depreciation & Amortization,3.52,3.21,2.96,2.72,2.92,2.75,2.6,3.28,1.9,1.88,Upgrade
EBIT,28.28,13.45,20.58,22.41,18,10.79,9.78,6.64,4.34,2.66,Upgrade
EBIT Margin,43.51%,27.06%,36.20%,38.57%,33.57%,24.65%,24.63%,17.76%,11.96%,7.11%,Upgrade
