Year,2022,2021,2020
Revenue,71.94,64.52,52.24
Revenue Growth (YoY),11.49%,23.52%,-
Gross Profit,71.94,64.52,52.24
"Selling, General & Admin",23.41,23.83,21.74
Other Operating Expenses,8.47,8.43,7.42
Operating Expenses,31.87,32.26,29.16
Operating Income,40.06,32.26,23.07
Pretax Income,40.06,32.26,23.07
Income Tax,8.26,6.8,4.55
Net Income,31.8,25.46,18.53
Net Income Growth,24.91%,37.43%,-
Shares Outstanding (Basic),14,14,-
Shares Change,3.45%,-,-
EPS (Basic),2.27,1.87,1.37
EPS (Diluted),2.25,1.83,1.35
EPS Growth,22.95%,35.56%,-
Free Cash Flow Per Share,2.34,2.35,-
Dividend Per Share,0.200,-,-
Gross Margin,100.00%,100.00%,100.00%
Operating Margin,55.69%,50.00%,44.17%
Profit Margin,44.21%,39.46%,35.47%
Free Cash Flow Margin,45.87%,49.65%,45.65%
Effective Tax Rate,20.62%,21.08%,19.70%
EBITDA,41.98,34.49,25.69
EBITDA Margin,58.36%,53.45%,49.17%
Depreciation & Amortization,1.92,2.23,2.61
EBIT,40.06,32.26,23.07
EBIT Margin,55.69%,50.00%,44.17%
