Year,2022,2021,2020,2019
Revenue,82.84,64.92,53.84,53.92
Revenue Growth (YoY),27.61%,20.58%,-0.14%,-
Gross Profit,82.84,64.92,53.84,53.92
"Selling, General & Admin",49.39,35.01,27.78,26.4
Operating Expenses,49.39,35.01,27.78,26.4
Operating Income,33.45,29.91,26.06,27.52
Other Expense / Income,0.9,-0.88,-0.69,-0.3
Pretax Income,32.55,30.79,26.75,27.82
Income Tax,9.89,8.41,7.35,7.63
Net Income,22.66,22.38,19.41,20.2
Net Income Growth,1.24%,15.33%,-3.92%,-
Shares Outstanding (Basic),27,22,21,21
Shares Outstanding (Diluted),27,22,21,21
Shares Change,26.08%,2.98%,-,-
EPS (Basic),0.79,0.96,0.82,0.85
EPS (Diluted),0.79,0.96,0.82,0.85
EPS Growth,-17.71%,17.07%,-3.53%,-
Free Cash Flow Per Share,-1.21,-4.98,6.60,0.93
Dividend Per Share,0.077,0.025,-,-
Dividend Growth,208.00%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,40.38%,46.08%,48.41%,51.05%
Profit Margin,27.35%,34.47%,36.04%,37.46%
Free Cash Flow Margin,-40.12%,-166.85%,258.82%,36.24%
Effective Tax Rate,30.39%,27.31%,27.46%,27.41%
EBITDA,34.49,32.52,27.9,28.54
EBITDA Margin,41.63%,50.09%,51.82%,52.93%
Depreciation & Amortization,1.94,1.73,1.15,0.72
EBIT,32.55,30.79,26.75,27.82
EBIT Margin,39.29%,47.43%,49.69%,51.60%
