Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Revenue,29,"18,285","17,819","18,307","18,158","17,616","17,386","16,351","14,899","27,928",Upgrade
Revenue Growth (YoY),-99.84%,2.62%,-2.67%,0.82%,3.08%,1.32%,6.33%,9.75%,-46.65%,-30.41%,Upgrade
Gross Profit,29,"18,285","17,819","18,307","18,158","17,616","17,386","16,351","14,899","27,928",Upgrade
Selling & Marketing,331,305,335,391,402,455,404,418,405,455,Upgrade
General & Administrative,"6,850","6,222","6,137","6,080","5,984","5,789","6,359","6,343","7,113","16,383",Upgrade
Operating Income,"4,688","14,151","12,843","21,113",0,0,0,0,0,0,Upgrade
Interest Income,"28,471","21,113","22,709","14,079","27,766","43,958","44,182","46,321","48,163","51,394",Upgrade
Interest Expense,"14,714","7,498","9,111","14,377","13,852","30,244","30,941","33,760","35,859","39,693",Upgrade
Other Expense / Income,"13,046","21,113","22,709","14,079","7,184","6,528","6,972","6,914","10,482","5,650",Upgrade
Pretax Income,"5,502","6,782","3,810","6,834","6,838","7,268","5,903","6,172","3,361","5,913",Upgrade
Income Tax,"1,725","1,877","1,317","1,955","2,027","2,281","1,618","1,637",859,"1,474",Upgrade
Net Income,"3,674","4,776","2,415","4,781","4,703","4,905","4,651","4,010",963,"4,577",Upgrade
Net Income Growth,-23.07%,97.76%,-49.49%,1.66%,-4.12%,5.46%,15.99%,316.41%,-78.96%,40.44%,Upgrade
Shares Outstanding (Basic),"3,889","3,889","3,899","3,895","3,887","3,893","3,875","3,856","3,855","3,825",Upgrade
Shares Outstanding (Diluted),"3,891","3,891","3,901","3,895","3,887","3,893","3,879","3,856","3,855","3,834",Upgrade
Shares Change,-,-0.27%,0.15%,0.22%,-0.16%,0.37%,0.59%,0.03%,0.55%,0.82%,Upgrade
EPS (Basic),0.94,1.23,0.64,1.23,1.21,1.26,1.20,1.04,0.32,1.06,Upgrade
EPS (Diluted),0.94,1.23,0.64,1.23,1.21,1.26,1.20,1.04,0.32,1.06,Upgrade
EPS Growth,-23.58%,92.19%,-47.97%,1.65%,-3.97%,5.00%,15.38%,220.44%,-69.38%,53.62%,Upgrade
Free Cash Flow Per Share,-2.92,-3.89,26.39,3.26,1.71,-1.42,2.12,2.65,3.02,-2.30,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,16165.52%,77.39%,72.07%,115.33%,-,-,-,-,-,-,Upgrade
Profit Margin,12668.97%,26.12%,13.55%,26.12%,25.90%,27.84%,26.75%,24.52%,6.46%,16.39%,Upgrade
Free Cash Flow Margin,-39113.79%,-82.73%,577.43%,69.37%,36.51%,-31.32%,47.18%,62.53%,78.15%,-31.53%,Upgrade
Effective Tax Rate,31.35%,27.68%,34.57%,28.61%,29.64%,31.38%,27.41%,26.52%,25.56%,24.93%,Upgrade
EBITDA,"5,399","14,985","13,672","21,902","21,102","37,950","37,746","40,041","38,373","46,509",Upgrade
EBITDA Margin,18617.24%,81.95%,76.73%,119.64%,116.21%,215.43%,217.11%,244.88%,257.55%,166.53%,Upgrade
Depreciation & Amortization,711,834,829,789,520,520,536,634,692,765,Upgrade
EBIT,"4,688","14,151","12,843","21,113","20,582","37,430","37,210","39,407","37,681","45,744",Upgrade
EBIT Margin,16165.52%,77.39%,72.07%,115.33%,113.35%,212.48%,214.02%,241.01%,252.91%,163.79%,Upgrade
