Year,2022,2021,2020,2019
Revenue,593.31,251.91,92.09,100.12
Revenue Growth (YoY),135.52%,173.56%,-8.03%,-
Cost of Revenue,493.67,241.47,111.02,120.09
Gross Profit,99.65,10.45,-18.93,-19.96
"Selling, General & Admin",115.88,59.44,35.59,36.74
Research & Development,124.14,73.39,55.86,49.09
Operating Expenses,240.02,132.83,91.45,85.83
Operating Income,-140.38,-122.38,-110.38,-105.79
Other Expense / Income,-133.51,-122.38,-110.33,-1.43
Pretax Income,-6.86,0,-0.05,-104.36
Income Tax,0,0,-0.05,0
Net Income,-6.86,0,0,-104.36
Preferred Dividends,0,0,0,25.18
Net Income Common,-6.86,0,0,-129.54
Shares Outstanding (Basic),54,6,6,6
Shares Outstanding (Diluted),54,6,6,6
Shares Change,741.65%,-,-,-
EPS (Basic),-0.13,-24.16,-21.64,-20.16
EPS (Diluted),-0.13,-24.16,-21.64,-20.16
Free Cash Flow Per Share,-3.07,15.16,-20.13,2.00
Gross Margin,16.80%,4.15%,-20.56%,-19.94%
Operating Margin,-23.66%,-48.58%,-119.86%,-105.66%
Profit Margin,-1.16%,-,-,-129.38%
Free Cash Flow Margin,-28.01%,38.66%,-140.48%,12.84%
EBITDA,-0.87,4.49,5.69,-97.01
EBITDA Margin,-0.15%,1.78%,6.18%,-96.89%
Depreciation & Amortization,5.99,4.49,5.73,7.35
EBIT,-6.86,0,-0.05,-104.36
EBIT Margin,-1.16%,-,-0.05%,-104.23%
