Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,0,0,0.32,0.35,0.48,0.56,0.75,0.45,0.97,0.01,Upgrade
Revenue Growth (YoY),-,-,-9.40%,-26.88%,-14.29%,-25.13%,67.71%,-53.78%,13685.71%,-98.64%,Upgrade
Gross Profit,0,0,0.32,0.35,0.48,0.56,0.75,0.45,0.97,0.01,Upgrade
"Selling, General & Admin",2.08,2.19,3.74,2.5,2.58,3.25,2,2.13,1.79,1.6,Upgrade
Other Operating Expenses,1.54,1.24,1.39,1.2,1.44,1.3,1.17,0.64,1.57,1.52,Upgrade
Operating Expenses,3.61,3.43,5.13,3.69,4.01,4.54,3.17,2.77,3.36,3.12,Upgrade
Operating Income,-3.61,-3.43,-4.82,-3.34,-3.53,-3.98,-2.42,-2.32,-2.39,-3.11,Upgrade
Interest Expense / Income,0,0,0.03,0.01,0,0.01,0.01,0,0,0,Upgrade
Other Expense / Income,-2.5,-6.08,7.43,-5.56,-3.61,-3.19,-7.88,-3.46,-1.05,-3.47,Upgrade
Pretax Income,-1.11,2.65,-12.27,2.21,0.07,-0.81,5.45,1.14,-1.34,0.36,Upgrade
Income Tax,0.02,0.06,0.02,0.04,0.02,0.02,0.02,0.03,0.03,0.02,Upgrade
Net Income,-1.13,2.59,-12.29,2.17,0.05,-0.83,5.43,1.11,-1.37,0.34,Upgrade
Net Income Growth,-,-,-,4160.78%,-,-,390.70%,-,-,-,Upgrade
Shares Outstanding (Basic),14,14,14,14,14,13,13,13,12,11,Upgrade
Shares Outstanding (Diluted),14,14,14,14,14,13,13,13,12,11,Upgrade
Shares Change,-,-,-,-,1.30%,5.29%,-,6.47%,12.71%,-,Upgrade
EPS (Basic),-0.08,0.19,-0.91,0.16,-,-0.06,0.43,0.08,-0.11,0.03,Upgrade
EPS (Diluted),-0.08,0.19,-0.91,0.16,-,-0.06,0.43,0.08,-0.11,0.03,Upgrade
EPS Growth,-,-,-,-,-,-,437.50%,-,-,-,Upgrade
Free Cash Flow Per Share,-0.57,1.56,1.82,-0.40,-0.91,0.80,-1.57,0.10,-0.28,-1.86,Upgrade
Gross Margin,-,-,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,-,-,-1514.47%,-952.42%,-735.42%,-711.25%,-323.66%,-519.96%,-247.98%,-44457.14%,Upgrade
Profit Margin,-,-,-3865.41%,619.09%,10.63%,-148.04%,726.20%,248.21%,-141.66%,4885.71%,Upgrade
Free Cash Flow Margin,-,-,7740.25%,-1552.42%,-2554.79%,1912.50%,-2662.97%,299.33%,-348.91%,-280885.71%,Upgrade
Effective Tax Rate,-,2.38%,-,1.67%,29.17%,-,0.40%,2.64%,-,4.20%,Upgrade
EBITDA,-1.11,2.65,-12.24,2.22,0.08,-0.8,5.46,1.14,-1.34,0.36,Upgrade
EBITDA Margin,-,-,-3850.00%,632.76%,15.83%,-142.50%,730.21%,255.38%,-139.07%,5128.57%,Upgrade
EBIT,-1.11,2.65,-12.24,2.22,0.08,-0.8,5.46,1.14,-1.34,0.36,Upgrade
EBIT Margin,-,-,-3850.00%,632.76%,15.83%,-142.50%,730.21%,255.38%,-139.07%,5128.57%,Upgrade
