Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,662.46,631.56,593.39,511.31,480.17,406.62,438.96,394.79,233.82,124.83,Upgrade
Revenue Growth (YoY),4.89%,6.43%,16.05%,6.48%,18.09%,-7.37%,11.19%,68.84%,87.31%,0%,Upgrade
Cost of Revenue,501.16,427.37,373.39,273.29,237.43,201.48,238.86,141.19,89.56,38.5,Upgrade
Gross Profit,161.3,204.19,220,238.02,242.75,205.14,200.1,253.6,144.26,86.33,Upgrade
"Selling, General & Admin",226.7,211.76,209.81,188.45,173.21,155.61,143.33,103.31,70.01,30.87,Upgrade
Other Operating Expenses,91.96,60.5,0,0,0,0,0,0,0,0,Upgrade
Operating Expenses,318.66,272.26,209.81,188.45,173.21,155.61,143.33,103.31,70.01,30.87,Upgrade
Operating Income,-157.36,-68.06,10.19,49.57,69.54,49.54,56.77,150.29,74.25,55.46,Upgrade
Interest Expense / Income,8.81,7.97,7.97,8.52,20.02,13.21,0.36,0,0,0,Upgrade
Other Expense / Income,-,-,-,0.05,10.53,42.22,-,-,-,-,Upgrade
Pretax Income,-166.17,-76.03,2.21,41,38.99,-5.89,56.4,150.29,74.25,55.46,Upgrade
Income Tax,-11.81,-1.31,-7.11,12.36,11.84,-4.77,22.54,57.78,27.16,21.25,Upgrade
Net Income,-154.36,-74.73,9.33,28.64,27.16,-1.12,33.87,92.51,47.1,34.21,Upgrade
Net Income Growth,-,-,-67.43%,5.45%,-,-,-63.39%,96.43%,37.66%,0%,Upgrade
Shares Outstanding (Basic),26,28,28,29,26,27,30,30,25,14,Upgrade
Shares Outstanding (Diluted),26,28,28,29,26,27,30,30,26,14,Upgrade
Shares Change,-5.25%,-0.66%,-4.26%,12.02%,-2.62%,-9.57%,-2.28%,17.47%,78.37%,-,Upgrade
EPS (Basic),-5.86,-2.69,0.33,0.98,1.05,-0.04,1.14,3.08,1.92,2.39,Upgrade
EPS (Diluted),-5.86,-2.69,0.33,0.98,1.04,-0.04,1.14,3.05,1.82,2.36,Upgrade
EPS Growth,-,-,-66.33%,-5.77%,-,-,-62.62%,67.58%,-22.88%,0%,Upgrade
Free Cash Flow Per Share,-1.77,2.13,6.06,3.92,3.63,0.27,2.75,4.85,7.62,6.58,Upgrade
Dividend Per Share,0.120,0.240,0.240,0.240,0.240,0.240,0.230,0.050,-,-,Upgrade
Dividend Growth,-50.00%,0%,0%,0%,0%,4.35%,360.00%,-,-,-,Upgrade
Gross Margin,24.35%,32.33%,37.08%,46.55%,50.55%,50.45%,45.58%,64.24%,61.70%,69.16%,Upgrade
Operating Margin,-23.75%,-10.78%,1.72%,9.69%,14.48%,12.18%,12.93%,38.07%,31.76%,44.43%,Upgrade
Profit Margin,-23.30%,-11.83%,1.57%,5.60%,5.66%,-0.28%,7.71%,23.43%,20.14%,27.41%,Upgrade
Free Cash Flow Margin,-7.04%,9.36%,28.56%,22.43%,19.59%,1.75%,18.53%,36.91%,80.09%,75.43%,Upgrade
Effective Tax Rate,-,-,-321.42%,30.15%,30.36%,-,39.96%,38.44%,36.57%,38.31%,Upgrade
EBITDA,-149,-59.62,18.29,59.96,86.08,15.06,65.74,151.64,75.03,55.61,Upgrade
EBITDA Margin,-22.49%,-9.44%,3.08%,11.73%,17.93%,3.70%,14.98%,38.41%,32.09%,44.55%,Upgrade
Depreciation & Amortization,8.36,8.45,8.1,10.44,27.07,7.74,8.98,1.35,0.78,0.15,Upgrade
EBIT,-157.36,-68.06,10.19,49.52,59.01,7.32,56.77,150.29,74.25,55.46,Upgrade
EBIT Margin,-23.75%,-10.78%,1.72%,9.68%,12.29%,1.80%,12.93%,38.07%,31.76%,44.43%,Upgrade
