Year,2022,2021,2020,2019,2018,2017
Revenue,618.31,530.3,432.08,417.94,363.63,295.52
Revenue Growth (YoY),16.60%,22.73%,3.38%,14.93%,23.05%,-
Cost of Revenue,328.61,348.96,311.88,286,225.53,204.79
Gross Profit,289.69,181.34,120.2,131.94,138.11,90.73
"Selling, General & Admin",90.12,72.94,62.47,58.03,45.38,38.78
Other Operating Expenses,56.34,59.74,50.23,44.44,36.24,32.6
Operating Expenses,146.46,132.68,112.69,102.47,81.63,71.38
Operating Income,143.24,48.65,7.51,29.47,56.48,19.34
Interest Expense / Income,6.52,3.56,5.59,12.27,1.92,0
Other Expense / Income,-0.04,0.11,1.69,2.3,-,-
Pretax Income,136.76,44.99,0.23,14.91,54.56,19.34
Income Tax,33.5,19.32,8.04,15.33,17.14,-79.64
Net Income,103.26,25.67,-7.81,-0.42,37.43,98.98
Net Income Growth,302.25%,-,-,-,-62.19%,-
Shares Outstanding (Basic),74,72,67,66,66,66
Shares Outstanding (Diluted),74,72,67,66,66,66
Shares Change,2.04%,7.48%,1.60%,0.22%,-,-
EPS (Basic),1.40,0.36,-0.12,-0.01,0.57,1.50
EPS (Diluted),1.40,0.35,-0.12,-0.01,0.57,1.50
EPS Growth,300.00%,-,-,-,-62.00%,-
Free Cash Flow Per Share,1.37,1.31,0.71,0.49,0.67,0.45
Gross Margin,46.85%,34.19%,27.82%,31.57%,37.98%,30.70%
Operating Margin,23.17%,9.17%,1.74%,7.05%,15.53%,6.55%
Profit Margin,16.70%,4.84%,-1.81%,-0.10%,10.29%,33.49%
Free Cash Flow Margin,16.37%,17.79%,11.08%,7.80%,12.17%,10.14%
Effective Tax Rate,24.49%,42.94%,3481.82%,102.82%,31.41%,-411.70%
EBITDA,174.43,86.48,40.95,57.53,82.59,42.32
EBITDA Margin,28.21%,16.31%,9.48%,13.77%,22.71%,14.32%
Depreciation & Amortization,31.15,37.93,35.13,30.36,26.1,22.98
EBIT,143.28,48.55,5.82,27.17,56.48,19.34
EBIT Margin,23.17%,9.15%,1.35%,6.50%,15.53%,6.55%
