Year,2022,2021,2020,2019,2018,2017
Revenue,842.44,848.59,233.42,164.19,99.31,57.29
Revenue Growth (YoY),-0.72%,263.55%,42.16%,65.32%,73.35%,-
Gross Profit,842.44,848.59,233.42,164.19,99.31,57.29
"Selling, General & Admin",531.07,456.13,145.27,125.04,83.45,49.27
Research & Development,237.25,134,38.8,18.78,8.42,5.32
Other Operating Expenses,187.99,117.58,37.58,24.95,15.42,10.23
Operating Expenses,956.31,707.71,221.65,168.76,107.28,64.83
Operating Income,-113.86,140.88,11.77,-4.58,-7.97,-7.54
Other Expense / Income,-4.79,7.15,5.41,-4.18,4.35,0.18
Pretax Income,-109.07,133.73,6.35,-0.39,-12.32,-7.71
Income Tax,-0.41,-1.71,0.37,0.07,0,0.01
Net Income,-108.67,135.44,5.98,-0.47,-12.32,-7.72
Net Income Growth,-,2163.80%,-,-,-,-
Shares Outstanding (Basic),83,78,18,14,14,14
Shares Outstanding (Diluted),83,95,18,14,14,14
Shares Change,-12.66%,441.14%,22.17%,1.47%,1.83%,-
EPS (Basic),-1.31,1.73,-,-0.03,-0.87,-0.56
EPS (Diluted),-1.31,1.43,-,-0.03,-0.87,-0.56
Free Cash Flow Per Share,-8.43,1.96,0.58,1.83,3.49,0.69
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-13.52%,16.60%,5.04%,-2.79%,-8.03%,-13.15%
Profit Margin,-12.90%,15.96%,2.56%,-0.28%,-12.40%,-13.47%
Free Cash Flow Margin,-82.81%,18.06%,4.32%,16.02%,49.63%,16.73%
Effective Tax Rate,-,-1.28%,5.84%,-,-,-
EBITDA,-95.56,141.27,8.63,0.38,-12.01,-7.62
EBITDA Margin,-11.34%,16.65%,3.70%,0.23%,-12.09%,-13.30%
Depreciation & Amortization,13.51,7.54,2.28,0.77,0.31,0.09
EBIT,-109.07,133.73,6.35,-0.39,-12.32,-7.71
EBIT Margin,-12.95%,15.76%,2.72%,-0.24%,-12.40%,-13.46%
