Year,2022,2021,2020
"Selling, General & Admin",0.89,0.56,0.16
Operating Expenses,0.89,0.56,0.16
Operating Income,-0.89,-0.56,-0.16
Other Expense / Income,-26.3,-19.93,-2.28
Pretax Income,25.41,19.37,2.12
Income Tax,1.21,0.02,0
Net Income,24.19,19.36,2.12
Net Income Growth,25.00%,814.10%,-
Shares Outstanding (Basic),83,94,53
Shares Outstanding (Diluted),83,94,53
Shares Change,-11.51%,76.90%,-
EPS (Basic),0.29,0.21,0.04
EPS (Diluted),0.29,0.21,0.04
EPS Growth,38.10%,425.00%,-
Free Cash Flow Per Share,-0.01,-0.01,-0.00
Effective Tax Rate,4.77%,0.10%,0.05%
EBITDA,25.41,19.37,2.12
EBIT,25.41,19.37,2.12
