Year,2022,2021,2020,2019
"Selling, General & Admin",1.43,0.42,0,0
Operating Expenses,1.43,0.42,0,0
Operating Income,-1.43,-0.42,-0,-0
Other Expense / Income,-1.65,-0.01,-,-
Pretax Income,0.22,-0.4,-0,-0
Income Tax,0.4,0,0,0
Net Income,-0.18,-0.4,-0,-0
Shares Outstanding (Basic),15,7,3,3
Shares Outstanding (Diluted),15,7,3,3
Shares Change,101.30%,155.07%,15.00%,-
EPS (Basic),-0.01,-0.05,-,-
EPS (Diluted),-0.01,-0.05,-,-
Free Cash Flow Per Share,-0.06,-0.06,-0.00,-
Effective Tax Rate,182.20%,-,-,-
EBITDA,0.22,-0.4,-0,-0
EBIT,0.22,-0.4,-0,-0
