Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,249.96,255.86,216.8,207.07,204.4,176.77,169.2,164.23,116.37,128,Upgrade
Revenue Growth (YoY),-2.31%,18.02%,4.70%,1.31%,15.63%,4.48%,3.02%,41.12%,-9.08%,8.10%,Upgrade
Gross Profit,249.96,255.86,216.8,207.07,204.4,176.77,169.2,164.23,116.37,128,Upgrade
"Selling, General & Admin",113,106.19,102.92,99.08,95.38,81.94,87.78,87.66,83.98,68.56,Upgrade
Other Operating Expenses,17.33,17.72,20.39,20.22,24.72,24.4,21.74,25.3,13.19,12.1,Upgrade
Operating Expenses,130.33,123.91,123.31,119.3,120.1,106.34,109.52,112.95,97.17,80.67,Upgrade
Operating Income,119.63,131.95,93.49,87.78,84.3,70.43,59.67,51.28,19.21,47.34,Upgrade
Other Expense / Income,-,1.12,-,-,-,-,-,-,0.54,1.05,Upgrade
Pretax Income,119.63,130.83,93.49,87.78,84.3,70.43,59.67,51.28,18.67,46.29,Upgrade
Income Tax,14.61,17.43,11.34,13.22,10.16,16.12,10.33,7.28,-2.16,5.1,Upgrade
Net Income,105.02,113.4,82.15,74.55,74.14,54.31,49.35,44,20.83,41.19,Upgrade
Net Income Growth,-7.39%,38.04%,10.19%,0.56%,36.50%,10.06%,12.16%,111.19%,-49.42%,18.72%,Upgrade
Shares Outstanding (Basic),32,32,33,34,35,29,27,27,21,21,Upgrade
Shares Change,-0.53%,-2.41%,-2.06%,-3.96%,19.46%,9.24%,-1.33%,27.74%,0.65%,-1.88%,Upgrade
EPS (Basic),3.27,3.48,2.47,2.21,2.12,1.82,1.82,1.61,0.97,1.94,Upgrade
EPS (Diluted),3.26,3.47,2.47,2.20,2.11,1.81,1.81,1.61,0.97,1.94,Upgrade
EPS Growth,-6.05%,40.49%,12.27%,4.27%,16.57%,0%,12.42%,66.67%,-50.26%,20.55%,Upgrade
Free Cash Flow Per Share,6.81,4.63,2.45,1.92,3.15,2.79,2.98,2.54,2.38,2.54,Upgrade
Dividend Per Share,1.400,1.370,1.300,1.260,1.200,1.097,0.964,0.919,0.841,0.759,Upgrade
Dividend Growth,2.19%,5.38%,3.17%,5.00%,9.39%,13.80%,4.90%,9.27%,10.80%,-14.14%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,47.86%,51.57%,43.12%,42.39%,41.24%,39.84%,35.27%,31.22%,16.51%,36.98%,Upgrade
Profit Margin,42.02%,44.32%,37.89%,36.00%,36.27%,30.73%,29.17%,26.79%,17.90%,32.18%,Upgrade
Free Cash Flow Margin,87.45%,58.47%,37.33%,31.30%,54.26%,46.45%,47.46%,42.16%,43.72%,42.07%,Upgrade
Effective Tax Rate,12.21%,13.32%,12.13%,15.06%,12.06%,22.89%,17.30%,14.20%,-11.59%,11.01%,Upgrade
EBITDA,130.74,142.25,105.57,99.89,98.35,80.64,68.76,59.9,22.13,50.13,Upgrade
EBITDA Margin,52.30%,55.60%,48.70%,48.24%,48.11%,45.62%,40.64%,36.47%,19.01%,39.16%,Upgrade
Depreciation & Amortization,11.11,11.42,12.08,12.11,14.05,10.21,9.08,8.62,3.46,3.84,Upgrade
EBIT,119.63,130.83,93.49,87.78,84.3,70.43,59.67,51.28,18.67,46.29,Upgrade
EBIT Margin,47.86%,51.13%,43.12%,42.39%,41.24%,39.84%,35.27%,31.22%,16.04%,36.16%,Upgrade
