Year,2022,2021,2020,2019,2018
Revenue,258.88,235.52,115.02,123.22,105.67
Revenue Growth (YoY),9.92%,104.77%,-6.65%,16.60%,-
Cost of Revenue,0,0,0,42.96,41.22
Gross Profit,258.88,235.52,115.02,80.26,64.45
"Selling, General & Admin",31.15,14.33,14.57,15.7,17.91
Operating Expenses,31.15,14.33,14.57,15.7,17.91
Operating Income,227.73,221.18,100.44,64.56,46.54
Interest Expense / Income,-8.12,0.29,0.19,0.17,0.04
Other Expense / Income,134.54,98.04,34.91,2.33,0.84
Pretax Income,101.31,122.86,65.35,62.05,45.66
Income Tax,8.35,0.38,3.14,3.51,1.99
Net Income,92.96,122.48,62.21,58.54,43.67
Net Income Growth,-24.10%,96.88%,6.27%,34.05%,-
Shares Outstanding (Basic),147,136,134,134,-
Shares Change,8.11%,1.87%,-,-,-
EPS (Basic),0.63,0.90,0.53,0.00,-
EPS (Diluted),0.63,0.90,0.53,0.00,-
EPS Growth,-29.97%,69.36%,53100.00%,-,-
Free Cash Flow Per Share,0.51,0.78,0.39,0.33,-
Dividend Per Share,0.702,0.709,-,-,-
Dividend Growth,-0.99%,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,65.14%,60.99%
Operating Margin,87.97%,93.91%,87.33%,52.39%,44.04%
Profit Margin,35.91%,52.00%,54.09%,47.51%,41.33%
Free Cash Flow Margin,28.72%,44.89%,45.24%,35.97%,36.06%
Effective Tax Rate,8.24%,0.31%,4.80%,5.66%,4.36%
EBITDA,114.4,131.9,73.22,70.5,52.9
EBITDA Margin,44.19%,56.00%,63.66%,57.22%,50.06%
Depreciation & Amortization,21.2,8.76,7.69,8.28,7.2
EBIT,93.19,123.14,65.54,62.22,45.7
EBIT Margin,36.00%,52.29%,56.98%,50.50%,43.25%
