Year,2022,2021,2020,2019,2018,2017,2016
Revenue,206.7,246.11,128.39,54.56,33.56,16.95,5.48
Revenue Growth (YoY),-16.01%,91.68%,135.32%,62.58%,98.01%,209.53%,-
Cost of Revenue,117.36,118.3,62.68,38.31,55.91,11.99,8.44
Gross Profit,89.34,127.81,65.71,16.25,-22.35,4.96,-2.97
"Selling, General & Admin",51.45,81.97,29.62,16.36,18.36,9.86,7.92
Other Operating Expenses,36.15,28.26,15.06,10.07,6.18,4.11,2.81
Operating Expenses,87.61,110.23,44.68,26.43,24.54,13.98,10.74
Operating Income,1.73,17.58,21.03,-10.17,-46.89,-9.02,-13.7
Other Expense / Income,-0.43,-1.48,2.12,-0.23,-1.81,-0.32,-0.38
Pretax Income,2.16,19.05,18.92,-9.94,-45.08,-8.69,-13.32
Income Tax,4.29,4.36,2.85,-3.36,-1.87,-1.18,-2.56
Net Income,-2.13,14.69,16.06,-6.59,-43.21,-7.51,-10.76
Preferred Dividends,0.12,0,0,0,0,0,0
Net Income Common,-2.19,14.69,16.06,-6.59,-43.21,-7.51,-10.76
Net Income Growth,-,-8.55%,-,-,-,-,-
Shares Outstanding (Basic),"2,295","2,205","2,118","1,752",506,444,444
Shares Outstanding (Diluted),"2,295","2,205","2,118","1,752",506,444,444
Shares Change,4.08%,4.12%,20.90%,245.93%,14.10%,-,-
EPS (Basic),-,0.15,0.15,-,-1.35,-0.30,-0.30
EPS (Diluted),-,0.15,0.15,-,-1.35,-0.30,-0.30
Free Cash Flow Per Share,1.66,2.78,3.78,2.07,-0.68,-0.31,-0.40
Gross Margin,43.22%,51.93%,51.18%,29.79%,-66.61%,29.27%,-54.20%
Operating Margin,0.84%,7.14%,16.38%,-18.65%,-139.73%,-53.19%,-250.26%
Profit Margin,-1.06%,5.97%,12.51%,-12.08%,-128.75%,-44.31%,-196.47%
Free Cash Flow Margin,122.48%,165.88%,416.14%,443.52%,-68.10%,-53.66%,-218.11%
Effective Tax Rate,198.46%,22.90%,15.07%,-,-,-,-
EBITDA,4.91,20.39,19.84,-9.19,-44.61,-8.35,-13.12
EBITDA Margin,2.38%,8.29%,15.46%,-16.85%,-132.92%,-49.27%,-239.68%
Depreciation & Amortization,2.75,1.34,0.93,0.75,0.47,0.34,0.2
EBIT,2.16,19.05,18.92,-9.94,-45.08,-8.69,-13.32
EBIT Margin,1.05%,7.74%,14.73%,-18.23%,-134.33%,-51.29%,-243.25%
