Year,2022,2021,2020,2019,2018,2017,2016
Revenue,108.55,71.36,57.63,55.14,20.76,3.19,0
Revenue Growth (YoY),52.12%,23.83%,4.51%,165.65%,550.69%,-,-
Cost of Revenue,25.07,18.22,14.09,13.45,6.22,3.59,0.17
Gross Profit,83.49,53.14,43.53,41.68,14.53,-0.4,-0.17
"Selling, General & Admin",1.01,0.87,0.76,0.71,0.52,0.37,0.13
Other Operating Expenses,5.63,3.58,2.9,2.75,1.59,1.07,0.6
Operating Expenses,6.64,4.45,3.66,3.47,2.11,1.44,0.73
Operating Income,76.85,48.69,39.87,38.22,12.43,-1.84,-0.9
Interest Expense / Income,13.76,2.55,1.06,1.19,0.53,0,0
Other Expense / Income,30.55,0.51,-8.17,9.29,-0.05,-0.41,0
Pretax Income,32.54,45.62,46.98,27.75,11.94,-1.43,-0.9
Income Tax,0.29,0,0,0.1,0.19,0,0
Net Income,32.25,45.62,46.98,27.65,11.76,-1.44,-0.9
Net Income Growth,-29.31%,-2.90%,69.93%,135.14%,-,-,-
Shares Outstanding (Basic),41,34,28,19,9,3,0
Shares Outstanding (Diluted),41,34,28,19,9,3,0
Shares Change,19.86%,23.77%,47.68%,101.07%,232.74%,25844.63%,-
EPS (Basic),0.79,1.33,1.70,1.48,1.26,-0.51,-83.82
EPS (Diluted),0.79,1.33,1.70,1.48,1.26,-0.51,-83.82
EPS Growth,-40.60%,-21.76%,14.86%,17.46%,-,-,-
Free Cash Flow Per Share,-8.78,-1.79,-3.84,-7.14,-18.59,-42.20,-304.34
Dividend Per Share,1.260,0.250,-,-,-,-,-
Dividend Growth,404.00%,-,-,-,-,-,-
Gross Margin,76.91%,74.47%,75.54%,75.60%,70.01%,-12.46%,-
Operating Margin,70.79%,68.23%,69.19%,69.31%,59.87%,-57.62%,-
Profit Margin,29.71%,63.93%,81.53%,50.14%,56.65%,-45.03%,-
Free Cash Flow Margin,-331.50%,-85.83%,-184.10%,-242.25%,-833.16%,-3697.96%,-
Effective Tax Rate,0.89%,0.00%,0.00%,0.36%,1.56%,-,-
EBITDA,46.3,48.17,48.05,28.93,12.48,-1.43,-0.9
EBITDA Margin,42.65%,67.51%,83.37%,52.47%,60.11%,-44.92%,-
EBIT,46.3,48.17,48.05,28.93,12.48,-1.43,-0.9
EBIT Margin,42.65%,67.51%,83.37%,52.47%,60.11%,-44.92%,-
