Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Revenue,44.56,43.5,33.42,31.18,28.1,25.44,23.52,21.59,19.64,18,Upgrade
Revenue Growth (YoY),2.43%,30.17%,7.18%,10.95%,10.48%,8.16%,8.93%,9.93%,9.09%,5.31%,Upgrade
Gross Profit,44.56,43.5,33.42,31.18,28.1,25.44,23.52,21.59,19.64,18,Upgrade
"Selling, General & Admin",24.57,23.61,21.54,21.39,19.57,18.01,16.28,14.86,13.36,12.42,Upgrade
Other Operating Expenses,4.31,3.89,3.55,4.34,3.98,3.09,2.83,2.73,2.33,2.34,Upgrade
Operating Expenses,28.87,27.5,25.08,25.73,23.55,21.09,19.11,17.59,15.69,14.75,Upgrade
Operating Income,15.69,16.01,8.34,5.45,4.56,4.35,4.41,4,3.95,3.25,Upgrade
Other Expense / Income,0.1,0.1,0.1,0.01,-0.02,-0.07,0.03,0.04,0.06,-0,Upgrade
Pretax Income,15.59,15.91,8.25,5.44,4.58,4.41,4.38,3.96,3.9,3.25,Upgrade
Income Tax,2.66,3.5,1.3,1.17,0.55,0.92,1.11,1.07,1.15,0.85,Upgrade
Net Income,12.93,12.41,6.95,4.28,4.03,3.49,3.27,2.89,2.75,2.41,Upgrade
Preferred Dividends,0,0,0,0.7,0,0,0.02,0.13,0.1,0,Upgrade
Net Income Common,12.93,12.41,6.95,3.58,4.03,3.49,3.26,2.76,2.65,2.41,Upgrade
Net Income Growth,4.23%,78.52%,94.24%,-11.24%,15.47%,7.22%,18.01%,4.11%,10.14%,9.41%,Upgrade
Shares Outstanding (Basic),6,6,5,5,4,4,4,4,4,4,Upgrade
Shares Change,0.63%,31.68%,-3.80%,8.02%,1.84%,1.18%,-2.81%,-,10.82%,0.02%,Upgrade
EPS (Basic),2.13,2.07,1.17,0.80,0.97,0.86,0.79,0.67,0.64,0.58,Upgrade
EPS (Diluted),2.13,2.07,1.17,0.80,0.94,0.83,0.78,0.66,0.63,0.58,Upgrade
EPS Growth,2.90%,76.92%,46.25%,-14.89%,13.25%,6.41%,18.18%,4.76%,8.62%,0%,Upgrade
Free Cash Flow Per Share,2.92,3.21,10.00,0.96,0.76,1.14,1.18,0.84,0.61,0.73,Upgrade
Dividend Per Share,0.340,0.270,0.240,0.240,0.237,0.208,0.200,0.140,-,0.080,Upgrade
Dividend Growth,25.93%,12.50%,0%,1.27%,13.94%,4.00%,42.86%,-,-,0%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,35.21%,36.80%,24.96%,17.48%,16.21%,17.08%,18.75%,18.54%,20.13%,18.06%,Upgrade
Profit Margin,29.02%,28.52%,20.80%,11.47%,14.34%,13.72%,13.84%,12.78%,13.49%,13.36%,Upgrade
Free Cash Flow Margin,39.30%,44.07%,135.54%,14.51%,11.76%,19.13%,21.30%,17.04%,13.58%,15.92%,Upgrade
Effective Tax Rate,17.04%,22.00%,15.71%,21.41%,11.93%,20.89%,25.35%,27.05%,29.58%,26.04%,Upgrade
EBITDA,16.29,17.72,9.62,7,5.79,5.49,5.43,4.99,4.73,3.98,Upgrade
EBITDA Margin,36.55%,40.74%,28.79%,22.45%,20.59%,21.59%,23.09%,23.10%,24.08%,22.10%,Upgrade
Depreciation & Amortization,0.7,1.82,1.38,1.56,1.21,1.08,1.05,1.03,0.83,0.73,Upgrade
EBIT,15.59,15.91,8.25,5.44,4.58,4.41,4.38,3.96,3.9,3.25,Upgrade
EBIT Margin,34.98%,36.56%,24.67%,17.45%,16.29%,17.35%,18.64%,18.34%,19.85%,18.07%,Upgrade
