Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Revenue,507.92,616.62,459.55,354.38,329.31,295.8,257.11,189.32,136.89,118.38
Revenue Growth (YoY),-17.63%,34.18%,29.68%,7.61%,11.33%,15.05%,35.81%,38.29%,15.64%,-
Gross Profit,507.92,616.62,459.55,354.38,329.31,295.8,257.11,189.32,136.89,118.38
"Selling, General & Admin",270.6,304.12,281.85,194.94,181.01,168.2,144.06,108.46,81.76,69.88
Other Operating Expenses,77.74,69.45,95.23,49.9,42.45,54.12,50.73,30.03,20.4,19.7
Operating Expenses,348.35,373.57,377.09,244.84,223.46,222.32,194.79,138.49,102.16,89.58
Operating Income,159.57,243.05,82.46,109.54,105.85,73.49,62.32,50.82,34.73,28.8
Other Expense / Income,0.02,0.02,0.01,-,-,-,-,-,-,-
Pretax Income,159.56,243.04,82.45,109.54,105.85,73.49,62.32,50.82,34.73,28.8
Income Tax,35,52.75,18.83,25.73,25.62,21.09,21.73,2.97,2.27,1.89
Net Income,124.56,190.29,63.62,83.81,80.24,52.4,40.59,47.86,32.46,26.9
Net Income Growth,-34.54%,199.09%,-24.09%,4.46%,53.13%,29.09%,-15.18%,47.42%,20.66%,-
Shares Outstanding (Basic),47,48,47,31,31,28,19,17,17,17
Shares Outstanding (Diluted),-,-,-,-,-,28,19,17,17,17
Shares Change,-1.64%,1.09%,52.59%,0.70%,8.90%,46.06%,12.41%,-,-,-
EPS (Basic),2.64,4.01,1.69,2.70,2.60,1.90,2.12,2.79,1.89,1.57
EPS (Diluted),2.64,3.97,1.67,2.65,2.55,1.86,2.10,2.79,1.89,1.57
EPS Growth,-33.50%,137.72%,-36.98%,3.92%,37.10%,-11.43%,-24.73%,47.62%,20.38%,-
Free Cash Flow Per Share,16.61,1.02,-5.85,1.89,6.59,1.20,-13.04,-3.01,-6.43,3.21
Dividend Per Share,0.520,0.440,0.360,0.320,0.200,-,-,-,-,-
Dividend Growth,18.18%,22.22%,12.50%,60.00%,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,31.42%,39.42%,17.94%,30.91%,32.14%,24.84%,24.24%,26.85%,25.37%,24.33%
Profit Margin,24.52%,30.86%,13.84%,23.65%,24.36%,17.71%,15.79%,25.28%,23.71%,22.73%
Free Cash Flow Margin,153.48%,7.91%,-60.05%,16.47%,61.47%,11.19%,-97.21%,-27.30%,-80.66%,46.53%
Effective Tax Rate,21.94%,21.70%,22.84%,23.48%,24.20%,28.70%,34.87%,5.84%,6.53%,6.58%
EBITDA,172.16,256.92,95.31,119.05,113.37,79.8,76.77,58.44,39.84,33.46
EBITDA Margin,33.90%,41.67%,20.74%,33.60%,34.43%,26.98%,29.86%,30.87%,29.10%,28.26%
Depreciation & Amortization,12.6,13.89,12.86,9.52,7.52,6.31,14.45,7.62,5.11,4.66
EBIT,159.56,243.04,82.45,109.54,105.85,73.49,62.32,50.82,34.73,28.8
EBIT Margin,31.41%,39.41%,17.94%,30.91%,32.14%,24.84%,24.24%,26.85%,25.37%,24.33%
