Year,2022,2021,2020,2019
Revenue,25.08,23.72,16.33,15.27
Revenue Growth (YoY),5.74%,45.22%,6.97%,-
Gross Profit,25.08,23.72,16.33,15.27
"Selling, General & Admin",15.99,14.99,9.79,8.23
Other Operating Expenses,4.29,4,5.6,2.23
Operating Expenses,20.27,18.99,15.39,10.45
Operating Income,4.81,4.73,0.94,4.82
Pretax Income,4.81,4.73,0.94,4.82
Income Tax,0.57,0.95,-0.39,1.06
Net Income,4.24,3.78,1.33,3.76
Net Income Growth,12.12%,184.56%,-64.64%,-
Shares Outstanding (Basic),15,15,-,-
Shares Change,-0.90%,-,-,-
EPS (Basic),0.30,0.26,0.10,0.94
EPS (Diluted),0.30,0.26,0.10,0.94
EPS Growth,15.38%,160.00%,-89.36%,-
Free Cash Flow Per Share,0.27,0.17,-,-
Dividend Per Share,0.360,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,19.16%,19.93%,5.76%,31.54%
Profit Margin,16.89%,15.93%,8.13%,24.60%
Free Cash Flow Margin,16.05%,10.90%,-10.14%,16.43%
Effective Tax Rate,11.82%,20.04%,-41.13%,22.01%
EBITDA,6.01,5.97,1.77,5.48
EBITDA Margin,23.94%,25.15%,10.81%,35.92%
Depreciation & Amortization,1.2,1.24,0.82,0.67
EBIT,4.81,4.73,0.94,4.82
EBIT Margin,19.16%,19.93%,5.76%,31.54%
