Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,"28,403","32,379","18,259","22,357","22,220","19,686","19,042","18,877","18,749","18,931",Upgrade
Revenue Growth (YoY),-12.28%,77.33%,-18.33%,0.62%,12.87%,3.38%,0.87%,0.68%,-0.96%,11.48%,Upgrade
Gross Profit,"28,403","32,379","18,259","22,357","22,220","19,686","19,042","18,877","18,749","18,931",Upgrade
"Selling, General & Admin","17,678","14,997","13,060","13,287","12,424","11,782","11,201","10,723","9,913","9,638",Upgrade
Other Operating Expenses,"1,485","1,573","1,996","2,196","2,478","2,412","2,357","2,273","2,267","2,715",Upgrade
Operating Expenses,"19,163","16,570","15,056","15,483","14,902","14,194","13,558","12,996","12,180","12,353",Upgrade
Operating Income,"9,240","15,809","3,203","6,874","7,318","5,492","5,484","5,881","6,569","6,578",Upgrade
Other Expense / Income,-,4,3,-13,10,135,19,-38,-5,233,Upgrade
Pretax Income,"9,240","15,805","3,200","6,887","7,308","5,357","5,465","5,919","6,574","6,345",Upgrade
Income Tax,"1,880","3,415",486,"1,341","1,293","3,375","1,714","1,869","2,146","2,224",Upgrade
Net Income,"7,360","12,390","2,714","5,546","6,015","1,982","3,751","4,050","4,428","4,121",Upgrade
Preferred Dividends,316,425,339,354,305,278,238,178,85,70,Upgrade
Net Income Common,"7,044","11,965","2,375","5,192","5,710","1,704","3,513","3,872","4,343","4,051",Upgrade
Net Income Growth,-41.13%,403.79%,-54.26%,-9.07%,235.09%,-51.49%,-9.27%,-10.85%,7.21%,17.01%,Upgrade
Shares Outstanding (Basic),382,426,457,466,474,485,482,532,556,577,Upgrade
Shares Change,-10.32%,-6.95%,-1.79%,-1.68%,-2.29%,0.51%,-9.35%,-4.30%,-3.57%,-0.88%,Upgrade
EPS (Basic),17.98,27.04,5.19,11.10,11.90,3.52,6.96,7.15,7.71,6.99,Upgrade
EPS (Diluted),17.91,26.94,5.18,11.05,11.82,3.49,6.89,7.07,7.59,6.89,Upgrade
EPS Growth,-33.52%,420.08%,-53.12%,-6.51%,238.68%,-49.35%,-2.55%,-6.85%,10.16%,12.77%,Upgrade
Free Cash Flow Per Share,33.73,27.28,34.96,33.82,25.55,27.16,22.97,18.03,15.83,15.90,Upgrade
Dividend Per Share,2.400,2.000,1.000,1.600,1.600,1.600,1.600,1.500,1.200,0.950,Upgrade
Dividend Growth,20.00%,100.00%,-37.50%,0%,0%,0%,6.67%,25.00%,26.32%,375.00%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,32.53%,48.82%,17.54%,30.75%,32.93%,27.90%,28.80%,31.15%,35.04%,34.75%,Upgrade
Profit Margin,24.80%,36.95%,13.01%,23.22%,25.70%,8.66%,18.45%,20.51%,23.16%,21.40%,Upgrade
Free Cash Flow Margin,45.33%,35.86%,87.57%,70.46%,54.47%,66.87%,58.17%,50.83%,46.95%,48.42%,Upgrade
Effective Tax Rate,20.35%,21.61%,15.19%,19.47%,17.69%,63.00%,31.36%,31.58%,32.64%,35.05%,Upgrade
EBITDA,"12,450","19,286","6,701","10,226","9,704","7,797","7,893","8,019","8,576","8,410",Upgrade
EBITDA Margin,43.83%,59.56%,36.70%,45.74%,43.67%,39.61%,41.45%,42.48%,45.74%,44.42%,Upgrade
Depreciation & Amortization,"3,210","3,481","3,501","3,339","2,396","2,440","2,428","2,100","2,002","2,065",Upgrade
EBIT,"9,240","15,805","3,200","6,887","7,308","5,357","5,465","5,919","6,574","6,345",Upgrade
EBIT Margin,32.53%,48.81%,17.53%,30.80%,32.89%,27.21%,28.70%,31.36%,35.06%,33.52%,Upgrade
