Year,2022,2021,2020,2019,2018
Revenue,"1,942.11","1,834.42","1,284.86","1,146.61","1,151.4"
Revenue Growth (YoY),5.87%,42.77%,12.06%,-0.42%,-
Cost of Revenue,"1,054.36","1,003.06",708.65,624.53,561.92
Gross Profit,887.75,831.36,576.21,522.08,589.48
"Selling, General & Admin",553.72,527.81,417.53,407.01,496.23
Other Operating Expenses,7.34,21.95,-0.37,5.56,1.21
Operating Expenses,561.06,549.76,417.16,412.57,497.45
Operating Income,326.69,281.61,159.05,109.51,92.03
Other Expense / Income,2.24,-14.15,2.13,10.04,5.63
Pretax Income,324.45,295.75,156.91,99.47,86.4
Income Tax,88.58,88.09,50.76,38.01,44.31
Net Income,235.87,207.66,106.15,61.46,42.09
Net Income Growth,13.59%,95.62%,72.72%,46.03%,-
Shares Outstanding (Basic),56,52,50,50,50
Shares Outstanding (Diluted),58,54,50,50,50
Shares Change,8.28%,7.09%,-,-,-
EPS (Basic),8.42,8.06,4.24,2.46,1.68
EPS (Diluted),8.14,7.76,4.24,2.46,1.68
EPS Growth,4.90%,83.02%,72.36%,46.43%,-
Free Cash Flow Per Share,-0.06,12.49,4.91,4.66,7.33
Gross Margin,45.71%,45.32%,44.85%,45.53%,51.20%
Operating Margin,16.82%,15.35%,12.38%,9.55%,7.99%
Profit Margin,12.14%,11.32%,8.26%,5.36%,3.66%
Free Cash Flow Margin,-0.09%,17.56%,9.56%,10.16%,15.92%
Effective Tax Rate,27.30%,29.79%,32.35%,38.21%,51.29%
EBITDA,352.77,321.35,183.12,127.91,119.3
EBITDA Margin,18.16%,17.52%,14.25%,11.16%,10.36%
Depreciation & Amortization,28.33,25.59,26.21,28.44,32.89
EBIT,324.45,295.75,156.91,99.47,86.4
EBIT Margin,16.71%,16.12%,12.21%,8.68%,7.50%
