Year,2022,2021,2020,2019,2018,2017,2016
Revenue,307.86,289.21,196.29,210.62,193.68,151.16,132.47
Revenue Growth (YoY),6.45%,47.34%,-6.81%,8.75%,28.13%,14.10%,-
Gross Profit,307.86,289.21,196.29,210.62,193.68,151.16,132.47
"Selling, General & Admin",162.18,129.33,125.78,123.18,112.27,100.41,94.42
Other Operating Expenses,38.24,27.45,26.15,20.9,18.97,30.27,22.29
Operating Expenses,200.42,156.78,151.94,144.07,131.24,130.67,116.71
Operating Income,107.44,132.43,44.35,66.55,62.44,20.48,15.77
Pretax Income,107.44,132.43,44.35,66.55,62.44,20.48,15.77
Income Tax,19.73,23.89,8,12.67,10.84,5.81,2.92
Net Income,87.72,108.55,36.36,53.88,51.61,14.67,12.85
Preferred Dividends,0,0,0,0,2.95,4.84,4.71
Net Income Common,87.72,108.55,36.36,53.88,48.65,9.83,8.14
Net Income Growth,-19.19%,198.56%,-32.52%,10.75%,394.89%,20.83%,-
Shares Outstanding (Basic),31,23,24,23,24,22,-
Shares Change,30.55%,-0.04%,0.11%,-0.59%,7.24%,-,-
EPS (Basic),3.29,4.63,1.56,2.30,2.21,0.51,0.46
EPS (Diluted),3.28,4.60,1.55,2.28,2.20,0.50,0.46
EPS Growth,-28.70%,196.77%,-32.02%,3.64%,340.00%,8.70%,-
Free Cash Flow Per Share,4.47,7.09,-0.27,2.15,3.07,2.88,-
Dividend Per Share,0.580,0.490,0.378,0.251,0.098,-,-
Dividend Growth,18.37%,29.63%,50.60%,156.12%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,34.90%,45.79%,22.60%,31.60%,32.24%,13.55%,11.90%
Profit Margin,28.49%,37.53%,18.52%,25.58%,25.12%,6.50%,6.14%
Free Cash Flow Margin,44.56%,57.57%,-3.22%,23.94%,37.41%,41.92%,35.25%
Effective Tax Rate,18.36%,18.04%,18.03%,19.03%,17.36%,28.38%,18.50%
EBITDA,119.75,139.26,51.23,73.25,68.31,26.33,23.61
EBITDA Margin,38.90%,48.15%,26.10%,34.78%,35.27%,17.42%,17.83%
Depreciation & Amortization,12.31,6.83,6.88,6.71,5.87,5.85,7.85
EBIT,107.44,132.43,44.35,66.55,62.44,20.48,15.77
EBIT Margin,34.90%,45.79%,22.60%,31.60%,32.24%,13.55%,11.90%
