Year,2021,2020,2019
Revenue,211.26,88.34,29.41
Revenue Growth (YoY),139.14%,200.43%,-
Cost of Revenue,-96.91,-40.18,2.21
Gross Profit,308.17,128.52,27.19
"Selling, General & Admin",10.95,5.14,4.74
Other Operating Expenses,20.08,1.65,0.69
Operating Expenses,31.04,6.8,5.43
Operating Income,277.13,121.73,21.77
Interest Expense / Income,3.87,1.21,0.42
Other Expense / Income,191.23,96.22,22.18
Pretax Income,82.04,24.3,-0.83
Income Tax,2.42,0.15,0.83
Net Income,79.62,24.14,-1.66
Net Income Growth,229.78%,-,-
Shares Outstanding (Basic),78,69,65
Shares Outstanding (Diluted),85,73,65
Shares Change,15.72%,12.10%,-
EPS (Basic),1.02,0.35,-0.05
EPS (Diluted),0.94,0.33,-0.05
EPS Growth,184.85%,-,-
Free Cash Flow Per Share,-1.85,-0.60,-0.02
Gross Margin,145.87%,145.49%,92.48%
Operating Margin,131.18%,137.79%,74.03%
Profit Margin,37.69%,27.33%,-5.65%
Free Cash Flow Margin,-67.97%,-47.03%,-3.77%
Effective Tax Rate,2.94%,0.62%,-
EBITDA,152.93,36.18,5.89
EBITDA Margin,72.39%,40.95%,20.02%
Depreciation & Amortization,67.02,10.67,6.3
EBIT,85.91,25.51,-0.41
EBIT Margin,40.66%,28.88%,-1.41%
