Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,121.73,110.52,98.6,77.05,71.66,54.5,47.72,29.38
Revenue Growth (YoY),10.14%,12.09%,27.97%,7.51%,31.49%,14.21%,62.43%,-
Gross Profit,121.73,110.52,98.6,77.05,71.66,54.5,47.72,29.38
"Selling, General & Admin",45.99,39,38.61,32.13,29.46,23.27,18.92,9.73
Other Operating Expenses,16.11,11.56,12.03,10.63,10.15,7.1,5.95,24.05
Operating Expenses,62.1,50.55,50.64,42.76,39.61,30.36,24.87,33.78
Operating Income,59.63,59.97,47.97,34.29,32.05,24.14,22.84,-4.4
Other Expense / Income,-,0,-1.91,-,-,-,0.23,-
Pretax Income,59.63,59.97,49.88,34.29,32.05,24.14,22.62,-4.4
Income Tax,14.42,14.52,11.83,7.6,6.6,8.83,7.71,0
Net Income,45.21,45.44,38.05,26.69,25.46,15.31,14.91,-4.4
Net Income Growth,-0.51%,19.44%,42.53%,4.86%,66.24%,2.68%,-,-
Shares Outstanding (Basic),9,8,8,7,7,7,7,-
Shares Change,18.35%,-1.31%,9.11%,6.62%,-0.26%,-,-,-
EPS (Basic),5.58,5.92,5.07,3.91,3.81,2.44,2.40,-
EPS (Diluted),5.58,5.92,5.07,3.87,3.81,2.44,2.40,-
EPS Growth,-5.74%,16.77%,31.01%,1.57%,56.15%,1.67%,-,-
Free Cash Flow Per Share,3.67,4.21,4.64,2.17,2.34,2.33,1.97,-
Dividend Per Share,0.940,1.140,0.810,0.800,0.200,-,-,-
Dividend Growth,-17.54%,40.74%,1.25%,300.00%,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,48.99%,54.26%,48.65%,44.50%,44.73%,44.29%,47.87%,-14.98%
Profit Margin,37.14%,41.12%,38.59%,34.65%,35.52%,28.10%,31.25%,-14.98%
Free Cash Flow Margin,27.22%,29.06%,36.38%,19.96%,21.73%,28.44%,27.44%,26.09%
Effective Tax Rate,24.18%,24.22%,23.72%,22.15%,20.58%,36.56%,34.07%,-
EBITDA,63.61,63.15,53.05,36.63,33.93,25.4,23.54,-3.77
EBITDA Margin,52.25%,57.14%,53.80%,47.54%,47.34%,46.60%,49.33%,-12.84%
Depreciation & Amortization,3.97,3.19,3.17,2.34,1.87,1.26,0.92,0.63
EBIT,59.63,59.97,49.88,34.29,32.05,24.14,22.62,-4.4
EBIT Margin,48.99%,54.26%,50.58%,44.50%,44.73%,44.29%,47.40%,-14.98%
