Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,305.5,274.18,216.02,248.11,242.45,179.47,171.72,153.26,84.95
Revenue Growth (YoY),11.42%,26.92%,-12.93%,2.34%,35.09%,4.51%,12.04%,80.42%,-
Gross Profit,305.5,274.18,216.02,248.11,242.45,179.47,171.72,153.26,84.95
"Selling, General & Admin",132.82,129.58,129.25,136.03,146.85,111.83,92.76,89.55,49.02
Other Operating Expenses,42.85,45.49,54.76,39.61,44.79,37.11,28.53,28.3,18.71
Operating Expenses,175.66,175.07,184.01,175.64,191.64,148.94,121.29,117.85,67.73
Operating Income,129.84,99.11,32.01,72.47,50.81,30.53,50.43,35.42,17.21
Other Expense / Income,-,-,-,-,-,4.06,-,-,1.75
Pretax Income,129.84,99.11,32.01,72.47,50.81,26.47,50.43,35.42,15.47
Income Tax,30.81,17.8,9.48,16.69,11.38,10.42,18.89,11.09,4.65
Net Income,99.03,81.32,22.54,55.78,39.42,16.06,31.54,24.32,10.82
Preferred Dividends,3.17,0,0,0.05,0.14,0.08,0,0,7.6
Net Income Common,95.86,81.32,22.54,55.74,39.28,15.97,31.54,24.32,3.22
Net Income Growth,17.88%,260.82%,-59.57%,41.90%,145.91%,-49.36%,29.67%,656.58%,-
Shares Outstanding (Basic),22,22,23,24,23,18,14,12,6
Shares Outstanding (Diluted),22,23,23,24,24,18,14,12,6
Shares Change,-0.67%,-3.42%,-4.68%,4.01%,28.80%,26.71%,19.12%,101.02%,-
EPS (Basic),4.24,3.58,0.95,2.28,1.69,0.89,2.22,2.03,0.53
EPS (Diluted),4.23,3.57,0.95,2.26,1.66,0.87,2.17,2.00,0.53
EPS Growth,18.49%,275.79%,-57.96%,36.14%,90.80%,-59.91%,8.50%,277.36%,-
Free Cash Flow Per Share,10.45,14.78,21.28,21.95,3.89,3.85,1.55,5.65,3.13
Dividend Per Share,1.160,1.120,1.070,0.970,0.880,0.800,0.360,-,-
Dividend Growth,3.57%,4.67%,10.31%,10.23%,10.00%,122.22%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,42.50%,36.15%,14.82%,29.21%,20.96%,17.01%,29.37%,23.11%,20.26%
Profit Margin,31.38%,29.66%,10.43%,22.46%,16.20%,8.90%,18.37%,15.87%,3.78%
Free Cash Flow Margin,76.42%,121.22%,229.86%,214.87%,37.08%,38.20%,12.79%,43.88%,21.87%
Effective Tax Rate,23.73%,17.95%,29.60%,23.03%,22.41%,39.34%,37.46%,31.32%,30.07%
EBITDA,141.92,112.22,48.01,89.08,63.93,34.81,63.8,48.03,21.47
EBITDA Margin,46.46%,40.93%,22.22%,35.90%,26.37%,19.40%,37.15%,31.34%,25.27%
Depreciation & Amortization,12.08,13.1,15.99,16.61,13.12,8.34,13.37,12.61,6
EBIT,129.84,99.11,32.01,72.47,50.81,26.47,50.43,35.42,15.47
EBIT Margin,42.50%,36.15%,14.82%,29.21%,20.96%,14.75%,29.37%,23.11%,18.21%
