Year,2022,2021,2020,2019,2014,2013,2012,2011,2010,2009,2008 - 2003
Revenue,65.12,42.05,40.7,40.87,18.6,17.9,13.22,17.75,16.36,8.47,Upgrade
Revenue Growth (YoY),54.87%,3.31%,-0.43%,119.74%,3.90%,35.41%,-25.53%,8.50%,93.29%,-42.73%,Upgrade
Gross Profit,65.12,42.05,40.7,40.87,18.6,17.9,13.22,17.75,16.36,8.47,Upgrade
"Selling, General & Admin",21.27,19.9,18.6,17.35,11.72,11.44,12.71,9.96,9.71,10.05,Upgrade
Other Operating Expenses,9.42,6.58,6.49,6.59,4.4,4.93,5.33,4.24,3.88,3.85,Upgrade
Operating Expenses,30.69,26.47,25.09,23.94,16.12,16.37,18.04,14.2,13.59,13.89,Upgrade
Operating Income,34.43,15.57,15.61,16.93,2.48,1.54,-4.82,3.55,2.77,-5.43,Upgrade
Pretax Income,34.43,15.57,15.61,16.93,2.48,1.54,-4.82,3.55,2.77,-5.43,Upgrade
Income Tax,9.59,3.67,3.28,3.98,0.79,0.4,-2.3,1.2,0.9,-2.81,Upgrade
Net Income,24.84,11.91,12.33,12.95,1.7,1.14,-2.51,2.36,1.87,-2.62,Upgrade
Net Income Growth,108.68%,-3.44%,-4.82%,663.29%,49.25%,-,-,26.07%,-,-,Upgrade
Shares Outstanding (Basic),15,16,16,12,12,12,12,12,13,13,Upgrade
Shares Outstanding (Diluted),16,16,16,12,12,12,12,12,13,13,Upgrade
Shares Change,-0.81%,-1.83%,34.29%,-0.71%,-1.66%,0.17%,-1.31%,-1.97%,-0.69%,0.20%,Upgrade
EPS (Basic),1.61,0.75,0.76,1.08,0.14,0.09,-0.20,0.19,0.15,-0.20,Upgrade
EPS (Diluted),1.58,0.75,0.76,1.08,0.14,0.09,-0.20,0.19,0.15,-0.20,Upgrade
EPS Growth,110.67%,-1.32%,-29.63%,671.43%,55.56%,-,-,26.67%,-,-,Upgrade
Free Cash Flow Per Share,1.57,0.96,0.90,0.86,0.35,0.13,-0.28,0.23,0.72,-0.58,Upgrade
Dividend Per Share,0.360,0.210,0.150,0.120,0.120,0.090,0.120,0.120,0.120,0.120,Upgrade
Dividend Growth,71.43%,40.00%,25.00%,0%,33.33%,-25.00%,0%,0%,0%,0%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,52.87%,37.04%,38.36%,41.42%,13.35%,8.59%,-36.42%,20.01%,16.94%,-64.12%,Upgrade
Profit Margin,38.15%,28.31%,30.29%,31.69%,9.12%,6.35%,-19.02%,13.27%,11.42%,-30.90%,Upgrade
Free Cash Flow Margin,37.22%,36.18%,35.68%,25.36%,22.96%,9.17%,-25.88%,16.38%,56.13%,-88.48%,Upgrade
Effective Tax Rate,27.84%,23.56%,21.02%,23.49%,31.68%,26.02%,-,33.70%,32.61%,-,Upgrade
EBITDA,35.68,16.69,16.68,17.85,3.24,2.35,-4.07,4.26,3.61,-4.67,Upgrade
EBITDA Margin,54.78%,39.70%,40.98%,43.66%,17.41%,13.15%,-30.81%,24.02%,22.03%,-55.12%,Upgrade
Depreciation & Amortization,1.25,1.12,1.07,0.92,0.76,0.82,0.74,0.71,0.83,0.76,Upgrade
EBIT,34.43,15.57,15.61,16.93,2.48,1.54,-4.82,3.55,2.77,-5.43,Upgrade
EBIT Margin,52.87%,37.04%,38.36%,41.42%,13.35%,8.59%,-36.42%,20.01%,16.94%,-64.12%,Upgrade
