Year,2022,2021,2020,2019
Revenue,8.88,10.19,6.77,7.94
Revenue Growth (YoY),-12.87%,50.61%,-14.79%,-
Gross Profit,8.88,10.19,6.77,7.94
"Selling, General & Admin",7.18,6.62,5.24,4.79
Other Operating Expenses,1.54,1.17,1.19,1.5
Operating Expenses,8.72,7.79,6.43,6.28
Operating Income,0.16,2.4,0.33,1.66
Other Expense / Income,-,-,1.51,-
Pretax Income,0.16,2.4,-1.18,1.66
Income Tax,-0.02,0.48,-0.47,0.33
Net Income,0.18,1.92,-0.7,1.33
Net Income Growth,-90.60%,-,-,-
Shares Outstanding (Basic),5,5,-,-
EPS (Basic),0.04,0.39,-,-
EPS (Diluted),0.04,0.39,-,-
EPS Growth,-89.74%,-,-,-
Free Cash Flow Per Share,0.10,0.37,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,1.79%,23.54%,4.92%,20.87%
Profit Margin,2.03%,18.79%,-10.39%,16.73%
Free Cash Flow Margin,5.86%,19.05%,4.82%,-7.25%
Effective Tax Rate,-13.21%,20.18%,-,19.86%
EBITDA,0.61,2.82,-0.83,1.95
EBITDA Margin,6.84%,27.70%,-12.27%,24.60%
Depreciation & Amortization,0.45,0.42,0.35,0.3
EBIT,0.16,2.4,-1.18,1.66
EBIT Margin,1.79%,23.54%,-17.40%,20.87%
