Year,2022,2021,2020
"Selling, General & Admin",3.02,3.4,0.01
Operating Expenses,3.02,3.4,0.01
Operating Income,-3.02,-3.4,-0.01
Other Expense / Income,-14.61,2.3,-
Pretax Income,11.58,-5.7,-0.01
Income Tax,0.54,0,0
Net Income,11.05,-5.7,-0.01
Shares Outstanding (Basic),25,23,4
Shares Outstanding (Diluted),25,23,4
Shares Change,10.06%,422.45%,-
EPS (Basic),0.44,-0.25,-
EPS (Diluted),0.44,-0.25,-
Free Cash Flow Per Share,-0.04,-0.05,-0.01
Effective Tax Rate,4.64%,-,-
EBITDA,11.58,-5.7,-0.01
EBIT,11.58,-5.7,-0.01
