Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Revenue,67,54.9,47.61,45.54,42.73,39.81,35.45,29.64,30.93,27.26,Upgrade
Revenue Growth (YoY),22.04%,15.31%,4.55%,6.58%,7.33%,12.28%,19.63%,-4.18%,13.48%,1.54%,Upgrade
Gross Profit,67,54.9,47.61,45.54,42.73,39.81,35.45,29.64,30.93,27.26,Upgrade
"Selling, General & Admin",27.2,24.18,21.61,20.89,19.92,17.46,16.85,14.73,14.02,12.9,Upgrade
Other Operating Expenses,10.11,9.04,8.25,7.95,7.46,7.11,7.47,7.95,6.21,5.76,Upgrade
Operating Expenses,37.31,33.22,29.86,28.85,27.38,24.57,24.32,22.68,20.23,18.66,Upgrade
Operating Income,29.69,21.68,17.74,16.69,15.35,15.24,11.14,6.96,10.7,8.6,Upgrade
Pretax Income,29.69,21.68,17.74,16.69,15.35,15.24,11.14,6.96,10.7,8.6,Upgrade
Income Tax,6.79,5.34,4.06,4.2,3.81,6.15,3.47,2.05,3.57,2.71,Upgrade
Net Income,22.9,16.34,13.69,12.49,11.54,9.09,7.67,4.91,7.12,5.89,Upgrade
Preferred Dividends,0,0,0,0,0,0,0,0,0,0.07,Upgrade
Net Income Common,22.9,16.34,13.69,12.49,11.54,9.09,7.67,4.91,7.12,5.82,Upgrade
Net Income Growth,40.18%,19.36%,9.59%,8.25%,26.86%,18.64%,56.17%,-31.09%,22.41%,9.18%,Upgrade
Shares Outstanding (Basic),8,8,8,8,8,8,8,8,8,8,Upgrade
Shares Change,0.24%,0.25%,0.10%,0.21%,1.17%,0.09%,0.16%,0.04%,1.83%,0.28%,Upgrade
EPS (Basic),2.80,2.01,1.68,1.54,1.43,1.13,0.95,0.61,0.90,0.75,Upgrade
EPS (Diluted),2.79,2.00,1.68,1.54,1.42,1.13,0.95,0.61,0.89,0.74,Upgrade
EPS Growth,39.50%,19.05%,9.09%,8.45%,25.66%,18.95%,55.74%,-31.46%,20.27%,7.25%,Upgrade
Free Cash Flow Per Share,2.68,1.24,2.13,1.93,1.56,0.94,1.14,0.36,0.72,0.89,Upgrade
Dividend Per Share,0.300,0.290,0.280,0.270,0.260,0.250,0.240,0.210,0.165,-,Upgrade
Dividend Growth,3.45%,3.57%,3.70%,3.85%,4.00%,4.17%,14.29%,27.27%,-,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,44.31%,39.49%,37.27%,36.65%,35.92%,38.29%,31.42%,23.49%,34.58%,31.54%,Upgrade
Profit Margin,34.18%,29.76%,28.75%,27.43%,27.00%,22.85%,21.62%,16.56%,23.03%,21.35%,Upgrade
Free Cash Flow Margin,33.03%,18.60%,36.76%,34.75%,29.95%,19.08%,26.08%,9.78%,18.93%,25.95%,Upgrade
Effective Tax Rate,22.86%,24.63%,22.86%,25.17%,24.83%,40.33%,31.19%,29.50%,33.41%,31.53%,Upgrade
EBITDA,30.84,22.82,18.94,17.78,16.53,16.37,12.39,8.17,11.87,9.76,Upgrade
EBITDA Margin,46.03%,41.57%,39.79%,39.05%,38.70%,41.11%,34.95%,27.56%,38.38%,35.79%,Upgrade
Depreciation & Amortization,1.15,1.14,1.2,1.09,1.19,1.12,1.25,1.21,1.17,1.16,Upgrade
EBIT,29.69,21.68,17.74,16.69,15.35,15.24,11.14,6.96,10.7,8.6,Upgrade
EBIT Margin,44.31%,39.49%,37.27%,36.65%,35.92%,38.29%,31.42%,23.49%,34.58%,31.54%,Upgrade
