Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Revenue,"115,570","111,995","74,219","98,512","94,018","90,557","94,067","70,676","75,856","64,517",Upgrade
Revenue Growth (YoY),3.19%,50.90%,-24.66%,4.78%,3.82%,-3.73%,33.10%,-6.83%,17.58%,7.86%,Upgrade
Gross Profit,"115,570","111,995","74,219","98,512","94,018","90,557","94,067","70,676","75,856","64,517",Upgrade
"Selling, General & Admin","69,164","62,549","64,207","61,012","57,538","53,494","50,905","47,626","42,550","39,914",Upgrade
Operating Expenses,"69,164","62,549","64,207","61,012","57,538","53,494","50,905","47,626","42,550","39,914",Upgrade
Operating Income,"46,406","49,446","10,012","37,500","36,480","37,063","43,162","23,050","33,306","24,603",Upgrade
Other Expense / Income,363,460,"-5,231",-615,-15,-518,-139,-204,-259,-505,Upgrade
Pretax Income,"46,043","48,986","15,243","38,115","36,495","37,581","43,301","23,254","33,565","25,108",Upgrade
Income Tax,"16,341","22,226","-3,653","11,002","11,588","14,388","21,674","-2,486","12,010","8,684",Upgrade
Net Income,"29,702","26,760","18,896","27,113","24,907","23,193","21,627","25,740","21,555","16,424",Upgrade
Net Income Growth,10.99%,41.62%,-30.31%,8.86%,7.39%,7.24%,-15.98%,19.42%,31.24%,30.00%,Upgrade
Shares Outstanding (Basic),"4,958","4,958","4,958","4,958","4,958","5,022","5,028","5,028","5,028","5,028",Upgrade
Shares Outstanding (Diluted),"4,958","4,958","4,958","4,958","4,958","5,022","5,028","5,028","5,028","5,028",Upgrade
Shares Change,-,-,-,-,-1.27%,-0.11%,-,-,-0.00%,-,Upgrade
EPS (Basic),3.03,2.74,1.94,2.78,2.56,2.38,2.21,2.61,2.17,1.66,Upgrade
EPS (Diluted),3.01,2.72,1.93,2.77,2.55,2.36,2.20,2.59,2.16,1.65,Upgrade
EPS Growth,10.66%,40.93%,-30.32%,8.63%,8.05%,7.27%,-15.16%,20.05%,31.07%,30.07%,Upgrade
Free Cash Flow Per Share,25.76,10.70,11.72,6.80,5.74,4.47,6.92,-7.13,17.07,5.98,Upgrade
Dividend Per Share,0.198,0.165,0.292,0.751,0.399,0.278,0.288,0.282,1.022,1.036,Upgrade
Dividend Growth,20.00%,-43.49%,-61.12%,88.22%,43.53%,-3.47%,2.13%,-72.41%,-1.35%,274.01%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,40.15%,44.15%,13.49%,38.07%,38.80%,40.93%,45.88%,32.61%,43.91%,38.13%,Upgrade
Profit Margin,25.70%,23.89%,25.46%,27.52%,26.49%,25.61%,22.99%,36.42%,28.42%,25.46%,Upgrade
Free Cash Flow Margin,110.53%,47.38%,78.29%,34.22%,30.27%,24.81%,37.01%,-50.68%,113.14%,46.61%,Upgrade
Effective Tax Rate,35.49%,45.37%,-23.97%,28.87%,31.75%,38.29%,50.05%,-10.69%,35.78%,34.59%,Upgrade
EBITDA,"50,839","53,219","18,972","41,676","40,062","40,750","46,550","26,082","36,109","27,441",Upgrade
EBITDA Margin,43.99%,47.52%,25.56%,42.31%,42.61%,45.00%,49.49%,36.90%,47.60%,42.53%,Upgrade
Depreciation & Amortization,"4,796","4,233","3,729","3,561","3,567","3,169","3,249","2,828","2,544","2,333",Upgrade
EBIT,"46,043","48,986","15,243","38,115","36,495","37,581","43,301","23,254","33,565","25,108",Upgrade
EBIT Margin,39.84%,43.74%,20.54%,38.69%,38.82%,41.50%,46.03%,32.90%,44.25%,38.92%,Upgrade
