Year,2022,2021,2020,2019,2017
Revenue,"1,188.78","1,076.45",892.66,775.57,504.45
Revenue Growth (YoY),10.44%,20.59%,15.10%,53.75%,-
Cost of Revenue,432.42,407.26,349.66,329.46,248.96
Gross Profit,756.36,669.19,543,446.11,255.49
"Selling, General & Admin",127.14,102.87,96.98,88.93,33.97
Research & Development,0,0,0,0,30.01
Other Operating Expenses,216.64,207.49,182.66,167.36,102.41
Operating Expenses,343.79,310.36,279.65,256.29,166.39
Operating Income,412.57,358.83,263.36,189.82,89.09
Interest Expense / Income,-11.91,1.59,0.32,-2.37,0.46
Other Expense / Income,37.62,33.54,40.67,56.12,-1.14
Pretax Income,386.86,323.7,222.37,136.07,89.78
Income Tax,77.52,96.88,56.07,52.3,6.13
Net Income,309.34,226.83,166.3,83.77,83.65
Net Income Growth,36.38%,36.40%,98.52%,0.14%,-
Shares Outstanding (Basic),206,201,180,148,-
Shares Outstanding (Diluted),208,207,188,157,-
Shares Change,0.55%,10.11%,20.24%,-,-
EPS (Basic),1.50,1.13,0.92,0.57,-
EPS (Diluted),1.48,1.09,0.88,0.54,-
EPS Growth,35.78%,23.86%,62.96%,-,-
Free Cash Flow Per Share,2.79,2.62,2.22,1.80,-
Dividend Per Share,0.320,0.320,0.320,0.240,-
Dividend Growth,0%,0%,33.33%,-,-
Gross Margin,63.62%,62.17%,60.83%,57.52%,50.65%
Operating Margin,34.71%,33.33%,29.50%,24.47%,17.66%
Profit Margin,26.02%,21.07%,18.63%,10.80%,16.58%
Free Cash Flow Margin,48.18%,48.93%,44.89%,34.37%,36.47%
Effective Tax Rate,20.04%,29.93%,25.22%,38.44%,6.83%
EBITDA,553.83,496.6,376.48,273.03,158.85
EBITDA Margin,46.59%,46.13%,42.17%,35.20%,31.49%
Depreciation & Amortization,178.88,171.31,153.79,139.33,68.62
EBIT,374.95,325.29,222.69,133.7,90.23
EBIT Margin,31.54%,30.22%,24.95%,17.24%,17.89%
