Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Revenue,24.43,26.69,34.46,34.4,40.79,31.01,35.58,36.92,21.13,6.77
Revenue Growth (YoY),-8.46%,-22.55%,0.18%,-15.67%,31.53%,-12.84%,-3.62%,74.68%,212.04%,-
Cost of Revenue,3.77,4.35,5.95,7.16,8.8,5.94,6.74,9.88,0.31,0
Gross Profit,20.67,22.34,28.51,27.24,31.99,25.07,28.84,27.04,20.82,6.77
"Selling, General & Admin",1.88,2.04,2.05,2.05,1.9,1.97,1.65,1.32,0.56,0
Other Operating Expenses,2.26,2.44,2.82,2.39,2.06,1.97,1.84,1.95,1.34,0.47
Operating Expenses,4.15,4.48,4.87,4.44,3.95,3.94,3.5,3.27,1.89,0.47
Operating Income,16.52,17.86,23.64,22.8,28.03,21.13,25.34,23.76,18.93,6.3
Interest Expense / Income,6.63,7.36,9.54,8.87,6.31,4.75,4.05,3.53,2.47,0.15
Other Expense / Income,7.03,12.54,38.62,28.32,3.52,-7.2,30.64,4.8,0.28,-1.84
Pretax Income,2.86,-2.04,-24.51,-14.38,18.2,23.58,-9.34,15.43,16.18,8
Income Tax,0.27,0.27,0.14,0.16,2.58,0,0,0,0,0
Net Income,2.59,-2.31,-24.66,-14.54,15.63,23.58,-9.34,15.43,16.18,8
Net Income Growth,-,-,-,-,-33.73%,-,-,-4.59%,102.30%,-
Shares Outstanding (Basic),14,14,14,14,14,14,14,14,14,-
Shares Outstanding (Diluted),14,14,14,14,14,14,14,14,14,-
Shares Change,2.85%,1.21%,0.81%,-0.43%,0.03%,0.09%,0.05%,0.00%,-,-
EPS (Basic),0.18,-0.17,-1.79,-1.07,1.14,1.72,-0.68,1.13,0.51,-
EPS (Diluted),0.18,-0.17,-1.79,-1.07,1.14,1.72,-0.68,1.13,0.51,-
EPS Growth,-,-,-,-,-33.72%,-,-,121.57%,-,-
Free Cash Flow Per Share,1.48,1.45,-0.77,-1.02,-2.06,3.31,3.02,-3.52,-4.67,-
Dividend Per Share,0.600,0.690,0.930,1.000,1.000,1.203,1.827,1.369,0.519,-
Dividend Growth,-13.04%,-25.81%,-7.00%,0%,-16.87%,-34.15%,33.46%,163.78%,-,-
Gross Margin,84.59%,83.70%,82.74%,79.19%,78.42%,80.84%,81.06%,73.24%,98.52%,100.00%
Operating Margin,67.62%,66.90%,68.61%,66.29%,68.72%,68.14%,71.23%,64.37%,89.55%,93.05%
Profit Margin,10.59%,-8.67%,-71.55%,-42.28%,38.31%,76.03%,-26.26%,41.81%,76.54%,118.06%
Free Cash Flow Margin,86.83%,75.72%,-30.62%,-40.59%,-69.00%,146.11%,116.14%,-130.35%,-301.97%,-2356.67%
Effective Tax Rate,9.47%,-,-,-,14.17%,-,-,-,-,-
EBITDA,9.49,5.31,-14.98,-5.52,24.52,28.33,-5.3,18.96,18.64,8.15
EBITDA Margin,38.85%,19.91%,-43.46%,-16.04%,60.10%,91.34%,-14.89%,51.36%,88.21%,120.27%
EBIT,9.49,5.31,-14.98,-5.52,24.52,28.33,-5.3,18.96,18.64,8.15
EBIT Margin,38.85%,19.91%,-43.46%,-16.04%,60.10%,91.34%,-14.89%,51.36%,88.21%,120.27%
