Year,2022,2021,2020
"Selling, General & Admin",1.18,1.6,0
Other Operating Expenses,2.48,0,0
Operating Expenses,3.66,1.6,0
Operating Income,-3.66,-1.6,-0
Other Expense / Income,-4.07,-0.32,-
Pretax Income,0.41,-1.28,-0
Income Tax,0.71,0,0
Net Income,-0.3,-1.28,-0
Shares Outstanding (Basic),33,30,6
Shares Outstanding (Diluted),33,30,6
Shares Change,11.29%,429.73%,-
EPS (Basic),-0.01,-0.04,-
EPS (Diluted),-0.01,-0.04,-
Free Cash Flow Per Share,-0.03,-0.04,-
Effective Tax Rate,171.86%,-,-
EBITDA,0.41,-1.28,-0
EBIT,0.41,-1.28,-0
