Year,2022,2021,2020,2019,2018,2017,2016
Revenue,107.93,95.41,92.6,63.98,57.62,54.5,53.39
Revenue Growth (YoY),13.13%,3.03%,44.74%,11.04%,5.72%,2.07%,-
Gross Profit,107.93,95.41,92.6,63.98,57.62,54.5,53.39
"Selling, General & Admin",61.94,54.68,46.27,41.73,39.56,38.48,39.37
Other Operating Expenses,17.21,13.45,13.27,12.06,10.64,11.02,10.45
Operating Expenses,79.15,68.13,59.54,53.78,50.2,49.49,49.82
Operating Income,28.78,27.28,33.06,10.19,7.42,5.01,3.57
Other Expense / Income,-0.04,-,-,-,-,-,-
Pretax Income,28.83,27.28,33.06,10.19,7.42,5.01,3.57
Income Tax,7.13,6.67,8.53,2.18,1.78,2.98,1.27
Net Income,21.7,20.61,24.53,8.01,5.65,2.02,2.3
Preferred Dividends,0,0,0,0,1.38,2.29,2.84
Net Income Common,21.7,20.61,24.53,8.01,4.27,-0.27,-0.54
Net Income Growth,5.28%,-15.99%,206.33%,87.61%,-,-,-
Shares Outstanding (Basic),9,8,8,8,8,7,-
Shares Change,18.17%,1.01%,-0.43%,0.22%,7.42%,-,-
EPS (Basic),2.29,2.58,3.11,1.02,0.64,-0.05,-0.11
EPS (Diluted),2.23,2.50,3.08,1.01,0.63,-0.05,-0.11
EPS Growth,-10.80%,-18.83%,204.95%,60.32%,-,-,-
Free Cash Flow Per Share,4.77,19.97,-11.89,-2.75,2.14,-0.80,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,26.67%,28.59%,35.71%,15.93%,12.88%,9.19%,6.69%
Profit Margin,20.10%,21.60%,26.49%,12.52%,7.41%,-0.49%,-1.01%
Free Cash Flow Margin,41.98%,168.13%,-102.07%,-34.28%,29.65%,-10.88%,32.37%
Effective Tax Rate,24.73%,24.45%,25.80%,21.42%,23.92%,59.60%,35.54%
EBITDA,30.84,28.54,34.18,11.86,9.64,7.45,5.99
EBITDA Margin,28.57%,29.91%,36.91%,18.54%,16.74%,13.68%,11.23%
Depreciation & Amortization,2.01,1.26,1.12,1.67,2.22,2.45,2.42
EBIT,28.83,27.28,33.06,10.19,7.42,5.01,3.57
EBIT Margin,26.71%,28.59%,35.71%,15.93%,12.88%,9.19%,6.69%
