Year,2022,2021,2020,2019
Revenue,538.9,379.6,245.3,228.3
Revenue Growth (YoY),41.97%,54.75%,7.45%,-
Cost of Revenue,39.8,28.5,21.3,16.1
Gross Profit,499.1,351.1,224,212.2
"Selling, General & Admin",433.8,309.8,172,137.8
Research & Development,77.6,62.2,50.9,46
Other Operating Expenses,6.7,18.1,-0.8,0
Operating Expenses,518.1,390.1,222.1,183.8
Operating Income,-19,-39,1.9,28.4
Interest Expense / Income,2.5,1.3,1.1,1.1
Other Expense / Income,-1.5,-2.6,-0.1,-0.6
Pretax Income,-20,-37.7,0.9,27.9
Income Tax,-9.8,4.8,-4.4,3.7
Net Income,-10.2,-42.5,5.3,24.2
Net Income Growth,-,-,-78.10%,-
Shares Outstanding (Basic),71,52,44,42
Shares Outstanding (Diluted),71,52,56,54
Shares Change,36.03%,-7.82%,3.68%,-
EPS (Basic),-0.14,-0.82,0.12,0.57
EPS (Diluted),-0.14,-0.82,0.09,0.45
EPS Growth,-,-,-80.00%,-
Free Cash Flow Per Share,-0.10,-0.30,-0.07,0.39
Gross Margin,92.61%,92.49%,91.32%,92.95%
Operating Margin,-3.53%,-10.27%,0.77%,12.44%
Profit Margin,-1.89%,-11.20%,2.16%,10.60%
Free Cash Flow Margin,-1.34%,-4.16%,-1.35%,7.27%
Effective Tax Rate,-,-,-488.89%,13.26%
EBITDA,19.5,-9.3,17.1,38.4
EBITDA Margin,3.62%,-2.45%,6.97%,16.82%
Depreciation & Amortization,37,27.1,15.1,9.4
EBIT,-17.5,-36.4,2,29
EBIT Margin,-3.25%,-9.59%,0.82%,12.70%
