Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2006
Revenue,"8,600.83","7,720.83","5,871.64","5,624.86","5,188.4","4,281.48","4,049.38","4,275.05","4,373.66","4,140.86",Upgrade
Revenue Growth (YoY),11.40%,31.49%,4.39%,8.41%,21.18%,5.73%,-5.28%,-2.25%,5.62%,13.10%,Upgrade
Cost of Revenue,"5,410.89","5,266.11","3,768.33","3,452.63","3,240.73","2,726.65","2,655.13","2,917.33","3,047.72","2,892.84",Upgrade
Gross Profit,"3,189.94","2,454.72","2,103.31","2,172.23","1,947.67","1,554.84","1,394.25","1,357.73","1,325.95","1,248.01",Upgrade
"Selling, General & Admin","1,520.73","1,362.35","1,093.36","1,021.57",962.82,842.26,789.71,774.75,734.94,669.69,Upgrade
Other Operating Expenses,431.31,362.23,278.11,275.66,267.19,218.57,210.55,241.28,240.82,227.61,Upgrade
Operating Expenses,"1,952.05","1,724.57","1,371.47","1,297.23","1,230.01","1,060.83","1,000.26","1,016.03",975.77,897.3,Upgrade
Operating Income,"1,237.89",730.14,731.84,874.99,717.66,494,393.99,341.69,350.18,350.71,Upgrade
Interest Expense / Income,126.23,104.41,105.77,130,125.02,107.03,96.48,59.14,51.54,51.45,Upgrade
Other Expense / Income,-,24.4,-,3.16,-,22.41,-,-,3.94,7.96,Upgrade
Pretax Income,"1,111.65",601.33,626.07,741.84,592.64,364.57,297.52,282.56,294.7,291.3,Upgrade
Income Tax,265.95,141.46,153.43,181.96,153.18,125.71,105.59,113.77,116.65,109.45,Upgrade
Net Income,845.7,459.87,472.64,559.88,439.46,238.86,191.93,168.78,178.04,181.86,Upgrade
Net Income Growth,83.90%,-2.70%,-15.58%,27.40%,83.98%,24.45%,13.71%,-5.20%,-2.10%,19.71%,Upgrade
Shares Outstanding (Basic),80,80,79,83,88,90,89,95,100,105,Upgrade
Shares Outstanding (Diluted),81,82,81,85,91,92,90,97,102,106,Upgrade
Shares Change,-0.56%,1.29%,-4.63%,-6.62%,-1.62%,2.34%,-7.00%,-4.79%,-4.11%,-4.55%,Upgrade
EPS (Basic),10.60,5.75,5.96,6.78,4.99,2.65,2.15,1.77,1.78,1.74,Upgrade
EPS (Diluted),10.40,5.63,5.86,6.62,4.85,2.59,2.13,1.74,1.75,1.72,Upgrade
EPS Growth,84.72%,-3.92%,-11.48%,36.49%,87.26%,21.60%,22.41%,-0.57%,1.74%,25.55%,Upgrade
Free Cash Flow Per Share,20.54,2.96,8.01,5.66,5.09,3.79,2.93,2.17,1.50,0.78,Upgrade
Dividend Per Share,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.960,0.650,Upgrade
Dividend Growth,0%,0%,0%,0%,0%,0%,0%,4.17%,47.69%,-70.98%,Upgrade
Gross Margin,37.09%,31.79%,35.82%,38.62%,37.54%,36.32%,34.43%,31.76%,30.32%,30.14%,Upgrade
Operating Margin,14.39%,9.46%,12.46%,15.56%,13.83%,11.54%,9.73%,7.99%,8.01%,8.47%,Upgrade
Profit Margin,9.83%,5.96%,8.05%,9.95%,8.47%,5.58%,4.74%,3.95%,4.07%,4.39%,Upgrade
Free Cash Flow Margin,19.06%,3.07%,10.80%,8.31%,8.65%,7.97%,6.45%,4.84%,3.42%,1.98%,Upgrade
Effective Tax Rate,23.92%,23.53%,24.51%,24.53%,25.85%,34.48%,35.49%,40.27%,39.58%,37.57%,Upgrade
EBITDA,"1,525.26",936.43,908.93,"1,032.95",865.57,593.96,507.96,453.31,443.08,426.25,Upgrade
EBITDA Margin,17.73%,12.13%,15.48%,18.36%,16.68%,13.87%,12.54%,10.60%,10.13%,10.29%,Upgrade
Depreciation & Amortization,287.38,230.69,177.09,161.11,147.91,122.36,113.96,111.62,96.85,83.5,Upgrade
EBIT,"1,237.89",705.74,731.84,871.84,717.66,471.6,393.99,341.69,346.24,342.75,Upgrade
EBIT Margin,14.39%,9.14%,12.46%,15.50%,13.83%,11.01%,9.73%,7.99%,7.92%,8.28%,Upgrade
