Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,523.35,485.07,433.28,378.77,275.03,182.74,123.82,53.61,19.22,7.09,Upgrade
Revenue Growth (YoY),7.89%,11.95%,14.39%,37.72%,50.50%,47.59%,130.96%,178.89%,171.15%,2396.13%,Upgrade
Cost of Revenue,-3.59,12.31,59.25,12.51,5.45,5.34,2.39,0.65,0.08,0,Upgrade
Gross Profit,526.94,472.77,374.04,366.26,269.57,177.4,121.42,52.96,19.14,7.09,Upgrade
"Selling, General & Admin",117.49,142.3,131.61,126.62,116.97,106.36,93.22,80.6,73.42,60.74,Upgrade
Other Operating Expenses,1.09,2.51,2.84,2.25,0.27,0.62,0,0,0,0,Upgrade
Operating Expenses,118.58,144.81,134.45,128.87,117.24,106.98,93.22,80.6,73.42,60.74,Upgrade
Operating Income,408.36,327.96,239.59,237.4,152.34,70.43,28.2,-27.64,-54.28,-53.66,Upgrade
Interest Expense / Income,32.16,31.8,24.39,12.09,14.98,13.53,14.85,2.06,0,0,Upgrade
Other Expense / Income,-1.11,-0.57,-2.91,8.66,1.4,4.11,1.9,-1.91,-2.99,1.53,Upgrade
Pretax Income,377.31,296.73,218.11,216.65,135.96,52.79,11.45,-27.79,-51.29,-55.18,Upgrade
Income Tax,84.4,65.6,46.54,44.7,28.03,30.74,-52.55,0,-2.39,0,Upgrade
Net Income,292.9,231.13,171.57,171.96,107.93,22.05,64,-27.79,-48.91,-55.18,Upgrade
Net Income Growth,26.73%,34.72%,-0.23%,59.33%,389.46%,-65.55%,-,-,-,-,Upgrade
Shares Outstanding (Basic),85,86,78,68,65,60,59,59,58,56,Upgrade
Shares Outstanding (Diluted),86,87,79,70,68,62,61,59,58,56,Upgrade
Shares Change,-1.02%,9.62%,13.69%,3.06%,8.79%,2.23%,3.66%,0.69%,4.06%,47.73%,Upgrade
EPS (Basic),3.45,2.70,2.20,2.54,1.66,0.37,1.08,-0.47,-0.84,-0.99,Upgrade
EPS (Diluted),3.39,2.65,2.13,2.47,1.60,0.35,1.05,-0.47,-0.84,-0.99,Upgrade
EPS Growth,27.92%,24.41%,-13.77%,54.37%,357.14%,-66.67%,-,-,-,-,Upgrade
Free Cash Flow Per Share,3.57,3.66,3.08,2.93,2.12,0.99,1.02,0.60,-0.50,-0.77,Upgrade
Gross Margin,100.69%,97.46%,86.33%,96.70%,98.02%,97.08%,98.07%,98.79%,99.57%,100.00%,Upgrade
Operating Margin,78.03%,67.61%,55.30%,62.68%,55.39%,38.54%,22.78%,-51.56%,-282.37%,-756.88%,Upgrade
Profit Margin,55.97%,47.65%,39.60%,45.40%,39.24%,12.07%,51.69%,-51.84%,-254.43%,-778.45%,Upgrade
Free Cash Flow Margin,57.86%,64.63%,55.49%,52.33%,50.10%,32.42%,48.84%,65.90%,-151.84%,-606.62%,Upgrade
Effective Tax Rate,22.37%,22.11%,21.34%,20.63%,20.62%,58.23%,-458.86%,-,-,-,Upgrade
EBITDA,421.34,339.75,252.42,238.04,158.75,72.98,31.96,-20.88,-43.21,-47.07,Upgrade
EBITDA Margin,80.51%,70.04%,58.26%,62.84%,57.72%,39.94%,25.81%,-38.94%,-224.80%,-663.96%,Upgrade
Depreciation & Amortization,11.87,11.23,9.93,9.3,7.81,6.66,5.66,4.86,8.08,8.12,Upgrade
EBIT,409.47,328.52,242.49,228.74,150.94,66.32,26.3,-25.74,-51.29,-55.18,Upgrade
EBIT Margin,78.24%,67.73%,55.97%,60.39%,54.88%,36.29%,21.24%,-48.01%,-266.84%,-778.45%,Upgrade
