Year,2022,2021,2020,2019,2018
Revenue,"1,369.72",823.88,249.82,190.85,197.77
Revenue Growth (YoY),66.25%,229.80%,30.90%,-3.50%,-
Cost of Revenue,894.69,"1,496.99",240.73,111.77,114.68
Gross Profit,475.04,-673.11,9.08,79.08,83.09
"Selling, General & Admin",220.61,140.27,67.81,51.71,30.71
Other Operating Expenses,256.91,113.89,0,0,0
Operating Expenses,477.52,254.16,67.81,51.71,30.71
Operating Income,-2.48,-927.27,-58.73,27.37,52.38
Interest Expense / Income,55.71,27.28,23.82,6.66,0
Other Expense / Income,-39.53,-513.16,-4.61,-2.49,-1.11
Pretax Income,-18.67,-441.38,-77.93,23.2,53.48
Income Tax,-9.38,-65.21,-0.1,0.24,5.13
Net Income,-9.29,-376.17,-77.83,22.96,48.36
Net Income Growth,-,-,-,-52.52%,-
Shares Outstanding (Basic),433,355,34,-,-
Shares Outstanding (Diluted),433,"1,315",34,-,-
Shares Change,-67.04%,3823.75%,-,-,-
EPS (Basic),-0.02,-1.27,-0.82,-,-
EPS (Diluted),-0.02,-1.34,-0.82,-,-
Free Cash Flow Per Share,1.53,0.78,0.14,-,-
Dividend Per Share,0.430,0.170,-,-,-
Dividend Growth,152.94%,-,-,-,-
Gross Margin,34.68%,-81.70%,3.64%,41.43%,42.01%
Operating Margin,-0.18%,-112.55%,-23.51%,14.34%,26.48%
Profit Margin,-0.68%,-45.66%,-31.16%,12.03%,24.45%
Free Cash Flow Margin,48.40%,33.55%,1.83%,22.47%,33.57%
Effective Tax Rate,-,-,-,1.03%,9.59%
EBITDA,309.24,-297.58,-53.44,30.69,53.48
EBITDA Margin,22.58%,-36.12%,-21.39%,16.08%,27.04%
Depreciation & Amortization,272.2,116.53,0.67,0.83,0
EBIT,37.04,-414.11,-54.12,29.86,53.48
EBIT Margin,2.70%,-50.26%,-21.66%,15.65%,27.04%
