Year,2022,2021,2020,2019
Revenue,150.68,173.77,40.71,81.99
Revenue Growth (YoY),-13.29%,326.85%,-50.35%,-
Cost of Revenue,175.65,84.98,59.24,70.09
Gross Profit,-24.97,88.8,-18.53,11.9
"Selling, General & Admin",49.82,40.27,5.13,2.4
Other Operating Expenses,114.52,-0.18,-29.69,3.72
Operating Expenses,164.35,40.08,-24.55,6.12
Operating Income,-189.31,48.72,6.02,5.78
Interest Expense / Income,7.59,1.36,2.45,4.83
Other Expense / Income,36.32,114.45,-0.42,-1.17
Pretax Income,-233.22,-67.09,3.99,2.13
Income Tax,9.59,5.62,-15.05,0
Net Income,-242.81,-72.71,19.04,2.13
Net Income Growth,-,-,793.66%,-
Shares Outstanding (Basic),196,146,94,89
Shares Outstanding (Diluted),-,-,94,91
Shares Change,33.94%,55.44%,4.01%,-
EPS (Basic),-1.29,-0.54,0.20,0.02
EPS (Diluted),-1.29,-0.54,0.20,0.02
EPS Growth,-,-,900.00%,-
Free Cash Flow Per Share,-0.91,-2.15,-0.06,0.05
Gross Margin,-16.57%,51.10%,-45.52%,14.52%
Operating Margin,-125.64%,28.03%,14.78%,7.06%
Profit Margin,-161.14%,-41.84%,46.77%,2.60%
Free Cash Flow Margin,-118.44%,-181.45%,-14.64%,5.83%
Effective Tax Rate,-,-,-377.02%,-
EBITDA,-131.1,-42.45,27.71,40.01
EBITDA Margin,-87.00%,-24.43%,68.05%,48.80%
Depreciation & Amortization,94.53,23.29,21.26,33.05
EBIT,-225.63,-65.74,6.44,6.96
EBIT Margin,-149.74%,-37.83%,15.82%,8.48%
