Year,2021,2020,2019,2018,2017,2016,2015,2014,2013
Revenue,"2,269.96","1,525.45","1,159.37","1,084.39",963.36,872.09,693.77,680.87,592.45
Revenue Growth (YoY),48.81%,31.58%,6.91%,12.56%,10.47%,25.70%,1.89%,14.92%,-
Gross Profit,"2,269.96","1,525.45","1,159.37","1,084.39",963.36,872.09,693.77,680.87,592.45
"Selling, General & Admin","1,408.63",971.2,737.76,692.07,636.63,582.24,461.61,475.1,414.92
Other Operating Expenses,248.46,146.1,192.01,173.22,112.32,107.85,105.76,77.12,74.68
Operating Expenses,"1,657.09","1,117.3",929.77,865.29,748.95,690.1,567.37,552.22,489.6
Operating Income,612.86,408.16,229.6,219.1,214.41,182,126.4,128.65,102.85
Other Expense / Income,9.5,-1.07,-6.05,-5.22,-3.42,3.51,0.8,-3.42,-2.37
Pretax Income,603.37,409.23,235.65,224.32,217.84,178.49,125.6,132.08,105.22
Income Tax,165.61,96.46,51.85,65.21,45.55,70.14,55.86,52.2,43.9
Net Income,437.75,312.77,183.79,159.11,172.28,108.34,69.74,79.88,61.32
Net Income Growth,39.96%,70.18%,15.52%,-7.65%,59.02%,55.35%,-12.69%,30.27%,-
Shares Outstanding (Basic),65,66,62,62,62,61,59,57,55
Shares Outstanding (Diluted),68,69,66,66,66,67,63,60,58
Shares Change,-0.60%,4.48%,-0.18%,-0.72%,-0.38%,4.89%,5.56%,3.46%,-
EPS (Basic),6.74,4.75,2.96,2.56,2.76,1.77,1.18,1.40,1.11
EPS (Diluted),6.41,4.55,2.80,2.42,2.60,1.63,1.10,1.33,1.05
EPS Growth,40.88%,62.50%,15.70%,-6.92%,59.51%,48.18%,-17.29%,26.67%,-
Free Cash Flow Per Share,11.20,8.60,4.29,3.50,3.89,3.89,0.04,3.36,2.96
Dividend Per Share,1.720,1.300,1.240,1.080,0.800,0.710,0.300,-,-
Dividend Growth,32.31%,4.84%,14.81%,35.00%,12.68%,136.67%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,27.00%,26.76%,19.80%,20.20%,22.26%,20.87%,18.22%,18.90%,17.36%
Profit Margin,19.28%,20.50%,15.85%,14.67%,17.88%,12.42%,10.05%,11.73%,10.35%
Free Cash Flow Margin,32.07%,37.08%,23.03%,20.06%,25.22%,27.24%,0.34%,28.18%,27.47%
Effective Tax Rate,27.45%,23.57%,22.00%,29.07%,20.91%,39.30%,44.48%,39.52%,41.72%
EBITDA,683.41,447.21,277.59,238.8,225.74,187.34,133.1,137.59,111.26
EBITDA Margin,30.11%,29.32%,23.94%,22.02%,23.43%,21.48%,19.19%,20.21%,18.78%
Depreciation & Amortization,80.05,37.98,41.95,14.48,7.91,8.85,7.5,5.51,6.04
EBIT,603.37,409.23,235.65,224.32,217.84,178.49,125.6,132.08,105.22
EBIT Margin,26.58%,26.83%,20.33%,20.69%,22.61%,20.47%,18.10%,19.40%,17.76%
