Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Revenue,63.69,71.29,59.43,113.27,139.75,274.04,"1,131.66","1,629.1","1,405.33",621.09,Upgrade
Revenue Growth (YoY),-10.66%,19.95%,-47.53%,-18.95%,-49.00%,-75.78%,-30.53%,15.92%,126.27%,27.88%,Upgrade
Cost of Revenue,29.88,30.92,26.87,96.56,95.21,228.36,"1,061.05","1,573.87","1,266.43",550.82,Upgrade
Gross Profit,33.81,40.37,32.56,16.71,44.54,45.68,70.61,55.23,138.9,70.26,Upgrade
"Selling, General & Admin",28.48,23.64,19.9,22.57,26.43,48.35,79.16,86.65,84.29,53.75,Upgrade
Other Operating Expenses,31.4,0.09,-3.11,13.4,-153.22,14.98,-8.57,235.88,2.98,0,Upgrade
Operating Expenses,59.88,23.73,16.79,35.97,-126.78,63.33,70.6,322.52,87.26,53.75,Upgrade
Operating Income,-26.07,16.64,15.77,-19.27,171.33,-17.65,0.01,-267.29,51.64,16.51,Upgrade
Interest Expense / Income,1.81,1.94,1.88,1.24,2.13,8.42,24.1,22.33,15.97,9.74,Upgrade
Other Expense / Income,-3.93,-3.03,2.55,-3.57,1.31,13.13,-5.75,242.58,26.24,-1.96,Upgrade
Pretax Income,-23.95,17.74,11.34,-16.93,167.89,-39.2,-18.35,-532.2,9.43,8.74,Upgrade
Income Tax,-0.55,10.18,10.97,1.62,55.62,8.66,7.01,-46.19,10.12,-1,Upgrade
Net Income,-23.4,7.56,0.37,-18.55,112.28,-47.86,-25.36,-486,-0.68,9.73,Upgrade
Net Income Growth,-,1949.86%,-,-,-,-,-,-,-,-95.14%,Upgrade
Shares Outstanding (Basic),15,15,15,15,15,15,15,15,15,15,Upgrade
Shares Outstanding (Diluted),15,15,15,15,15,15,15,15,15,15,Upgrade
Shares Change,-0.65%,0.87%,0.09%,0.07%,-0.07%,-0.67%,-,0.29%,0.32%,0.32%,Upgrade
EPS (Basic),-1.58,0.51,0.03,-1.26,7.61,-3.24,-1.71,-32.80,-0.04,0.68,Upgrade
EPS (Diluted),-1.58,0.51,0.03,-1.26,7.61,-3.24,-1.71,-32.80,-0.04,0.68,Upgrade
EPS Growth,-,1600.00%,-,-,-,-,-,-,-,-95.00%,Upgrade
Free Cash Flow Per Share,2.21,-0.52,-1.15,-0.71,-0.43,0.11,6.70,-7.41,-1.80,1.10,Upgrade
Dividend Per Share,0.870,-,-,-,-,-,-,-,0.204,0.204,Upgrade
Dividend Growth,-,-,-,-,-,-,-,-,0%,9.09%,Upgrade
Gross Margin,53.08%,56.63%,54.79%,14.75%,31.87%,16.67%,6.24%,3.39%,9.88%,11.31%,Upgrade
Operating Margin,-40.93%,23.35%,26.53%,-17.01%,122.59%,-6.44%,0.00%,-16.41%,3.67%,2.66%,Upgrade
Profit Margin,-36.74%,10.61%,0.62%,-16.38%,80.34%,-17.46%,-2.24%,-29.83%,-0.05%,1.57%,Upgrade
Free Cash Flow Margin,51.51%,-10.67%,-28.49%,-9.29%,-4.56%,0.58%,8.81%,-6.76%,-1.90%,2.61%,Upgrade
Effective Tax Rate,-,57.36%,96.74%,-,33.13%,-,-,-,107.23%,-11.41%,Upgrade
EBITDA,-11.44,30.7,24.69,-7.4,175.73,-24.05,17.71,-503.42,33.96,20.68,Upgrade
EBITDA Margin,-17.96%,43.06%,41.54%,-6.54%,125.75%,-8.78%,1.56%,-30.90%,2.42%,3.33%,Upgrade
Depreciation & Amortization,10.7,11.02,11.47,8.29,5.71,6.73,11.95,6.45,8.56,2.21,Upgrade
EBIT,-22.14,19.68,13.22,-15.69,170.02,-30.78,5.76,-509.87,25.4,18.48,Upgrade
EBIT Margin,-34.76%,27.60%,22.24%,-13.85%,121.66%,-11.23%,0.51%,-31.30%,1.81%,2.97%,Upgrade
