Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2009
Revenue,16.96,16.85,16.81,16.73,16.79,17.75,18.76,16.16,12,11.97,Upgrade
Revenue Growth (YoY),0.67%,0.26%,0.47%,-0.37%,-5.42%,-5.36%,16.08%,34.70%,0.23%,-1.97%,Upgrade
Gross Profit,16.96,16.85,16.81,16.73,16.79,17.75,18.76,16.16,12,11.97,Upgrade
"Selling, General & Admin",10.65,10.38,10.34,10.61,10.72,9.68,9.7,7.93,5.54,4.91,Upgrade
Other Operating Expenses,1.24,1.34,1.7,1.53,1.33,1.07,1.78,1.03,0.77,0.59,Upgrade
Operating Expenses,11.89,11.72,12.04,12.13,12.05,10.75,11.48,8.96,6.31,5.5,Upgrade
Operating Income,5.07,5.13,4.76,4.59,4.74,7,7.28,7.2,5.69,6.47,Upgrade
Pretax Income,5.07,5.13,4.76,4.59,4.74,7,7.28,7.2,5.69,6.47,Upgrade
Income Tax,0.97,1.06,0.9,0.87,1.71,1.48,2.03,2.69,2.05,2.43,Upgrade
Net Income,4.1,4.07,3.86,3.72,3.04,5.53,5.25,4.51,3.64,4.04,Upgrade
Net Income Growth,0.84%,5.20%,3.87%,22.57%,-45.07%,5.32%,16.27%,23.99%,-9.93%,0.67%,Upgrade
Shares Outstanding (Basic),6,6,6,6,6,6,6,6,6,6,Upgrade
Shares Change,0.20%,-1.36%,-1.29%,-0.43%,0.02%,-1.67%,-0.18%,0.79%,-2.94%,-5.29%,Upgrade
EPS (Basic),0.73,0.73,0.68,0.65,0.53,0.97,0.91,0.79,0.64,0.67,Upgrade
EPS (Diluted),0.73,0.72,0.67,0.64,0.52,0.95,0.90,0.78,0.64,0.67,Upgrade
EPS Growth,1.39%,7.46%,4.69%,23.08%,-45.26%,5.56%,15.38%,21.88%,-4.48%,3.08%,Upgrade
Free Cash Flow Per Share,0.98,0.83,0.57,0.64,0.99,1.03,1.35,0.90,0.74,1.02,Upgrade
Dividend Per Share,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,29.90%,30.44%,28.35%,27.46%,28.23%,39.45%,38.80%,44.57%,47.42%,54.08%,Upgrade
Profit Margin,24.16%,24.12%,22.99%,22.24%,18.08%,31.12%,27.97%,27.92%,30.34%,33.76%,Upgrade
Free Cash Flow Margin,32.39%,27.71%,19.31%,21.84%,34.01%,33.49%,42.36%,32.77%,35.95%,51.30%,Upgrade
Effective Tax Rate,19.18%,20.74%,18.89%,19.02%,35.97%,21.11%,27.92%,37.35%,36.03%,37.58%,Upgrade
EBITDA,6.72,7.04,6.07,5.74,6.06,8.42,8.55,8.28,6.6,7.63,Upgrade
EBITDA Margin,39.60%,41.79%,36.11%,34.33%,36.08%,47.45%,45.56%,51.22%,54.98%,63.72%,Upgrade
Depreciation & Amortization,1.65,1.91,1.31,1.15,1.32,1.42,1.27,1.08,0.91,1.15,Upgrade
EBIT,5.07,5.13,4.76,4.59,4.74,7,7.28,7.2,5.69,6.47,Upgrade
EBIT Margin,29.90%,30.44%,28.35%,27.46%,28.23%,39.45%,38.80%,44.57%,47.42%,54.08%,Upgrade
